seed,T,N90,display,censoring,seed_curve_observed_increases,seed_curve_censored_adjacent_comparisons
4013,34,4,4,none,1,0
4013,40,3,3,none,1,0
4013,46,3,3,none,1,0
4013,58,2,2,none,1,0
4013,70,2,2,none,1,0
4013,94,2,2,none,1,0
4013,130,3,3,none,1,0
4013,166,3,3,none,1,0
4027,34,3,3,none,1,0
4027,40,3,3,none,1,0
4027,46,3,3,none,1,0
4027,58,2,2,none,1,0
4027,70,2,2,none,1,0
4027,94,3,3,none,1,0
4027,130,3,3,none,1,0
4027,166,3,3,none,1,0
4049,34,4,4,none,0,0
4049,40,3,3,none,0,0
4049,46,3,3,none,0,0
4049,58,3,3,none,0,0
4049,70,2,2,none,0,0
4049,94,2,2,none,0,0
4049,130,2,2,none,0,0
4049,166,2,2,none,0,0
4061,34,3,3,none,1,0
4061,40,3,3,none,1,0
4061,46,3,3,none,1,0
4061,58,3,3,none,1,0
4061,70,3,3,none,1,0
4061,94,3,3,none,1,0
4061,130,2,2,none,1,0
4061,166,3,3,none,1,0
4079,34,2,2,none,0,0
4079,40,2,2,none,0,0
4079,46,2,2,none,0,0
4079,58,2,2,none,0,0
4079,70,2,2,none,0,0
4079,94,2,2,none,0,0
4079,130,2,2,none,0,0
4079,166,2,2,none,0,0
