candidate_label,event_budget_label,r_on_hz,N,w,T,passed,minimum_worst_query_balanced_accuracy,minimum_exact_trial_accuracy,minimum_window_activity_fraction,mean_input_events,neuron_update_proxy
event4_N120_w12,event4,490.0,120,12,70,False,0.89013671875,0.67822265625,0.888671875,3.9955078125,8400
event4_N120_w4,event4,490.0,120,4,30,False,0.90283203125,0.70361328125,0.92236328125,3.9955078125,3600
event4_N120_w6,event4,490.0,120,6,40,False,0.90087890625,0.7099609375,0.92724609375,3.9955078125,4800
event4_N120_w8,event4,490.0,120,8,50,False,0.89794921875,0.7001953125,0.90966796875,3.9955078125,6000
event4_N240_w12,event4,490.0,240,12,70,False,0.89453125,0.6630859375,0.875,3.9955078125,16800
event4_N240_w4,event4,490.0,240,4,30,False,0.908203125,0.70703125,0.93408203125,3.9955078125,7200
event4_N240_w6,event4,490.0,240,6,40,False,0.89990234375,0.69384765625,0.91943359375,3.9955078125,9600
event4_N240_w8,event4,490.0,240,8,50,False,0.89892578125,0.70556640625,0.912109375,3.9955078125,12000
event8_N120_w12,event8,990.0,120,12,70,True,1.0,1.0,1.0,7.99736328125,8400
event8_N120_w4,event8,990.0,120,4,30,True,1.0,1.0,1.0,7.99736328125,3600
event8_N120_w6,event8,990.0,120,6,40,True,0.9996744394302368,0.99951171875,1.0,7.99736328125,4800
event8_N120_w8,event8,990.0,120,8,50,True,0.9996744394302368,0.99951171875,1.0,7.99736328125,6000
event8_N240_w12,event8,990.0,240,12,70,True,1.0,1.0,1.0,7.99736328125,16800
event8_N240_w4,event8,990.0,240,4,30,True,1.0,1.0,1.0,7.99736328125,7200
event8_N240_w6,event8,990.0,240,6,40,True,1.0,1.0,1.0,7.99736328125,9600
event8_N240_w8,event8,990.0,240,8,50,True,1.0,1.0,1.0,7.99736328125,12000
