candidate_label,event_budget_label,r_on_hz,N,w,T,seed,worst_query_balanced_accuracy,exact_trial_accuracy,mean_balanced_accuracy,per_query_balanced_accuracy,window_activity_fraction,minimum_window_activity_fraction,oracle_schedule_exact,mean_input_events,neuron_update_proxy,run_dir
event4_N120_w4,event4,490.0,120,4,30,3301,0.90673828125,0.7119140625,0.9341471433639527,"[0.9459635019302368, 0.9485677480697632, 0.9130859375, 0.90673828125, 0.9563802480697632]","[0.92236328125, 0.96484375, 0.98681640625, 0.98046875, 0.98291015625]",0.92236328125,True,4.00302734375,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N120_w4_seed3301
event4_N120_w4,event4,490.0,120,4,30,3313,0.908203125,0.70361328125,0.9384765625,"[0.9410806894302368, 0.9671224355697632, 0.908203125, 0.9169921875, 0.958984375]","[0.93603515625, 0.97216796875, 0.97607421875, 0.98583984375, 0.986328125]",0.93603515625,True,3.9857421875,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N120_w4_seed3313
event4_N120_w4,event4,490.0,120,4,30,3323,0.90283203125,0.71533203125,0.93623046875,"[0.95703125, 0.9547525644302368, 0.90283203125, 0.9169921875, 0.9495443105697632]","[0.92626953125, 0.97509765625, 0.9736328125, 0.9873046875, 0.98095703125]",0.92626953125,True,3.99775390625,3600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N120_w4_seed3323
event4_N120_w6,event4,490.0,120,6,40,3301,0.91650390625,0.72802734375,0.9398762941360473,"[0.9534505605697632, 0.9488931894302368, 0.9189453125, 0.91650390625, 0.9615885019302368]","[0.93505859375, 0.97265625, 0.98388671875, 0.9599609375, 0.98193359375]",0.93505859375,True,4.00302734375,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N120_w6_seed3301
event4_N120_w6,event4,490.0,120,6,40,3313,0.9130859375,0.71435546875,0.93828125,"[0.9527994394302368, 0.9573568105697632, 0.9140625, 0.9130859375, 0.9541015625]","[0.94677734375, 0.97119140625, 0.962890625, 0.9716796875, 0.974609375]",0.94677734375,True,3.9857421875,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N120_w6_seed3313
event4_N120_w6,event4,490.0,120,6,40,3323,0.90087890625,0.7099609375,0.9354166746139526,"[0.9514974355697632, 0.9508463144302368, 0.90087890625, 0.92236328125, 0.9514974355697632]","[0.94580078125, 0.9697265625, 0.92724609375, 0.97021484375, 0.970703125]",0.92724609375,True,3.99775390625,4800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T40_N120_w6_seed3323
event4_N120_w8,event4,490.0,120,8,50,3301,0.912109375,0.7109375,0.9365234375,"[0.9524739980697632, 0.9449869394302368, 0.9140625, 0.912109375, 0.958984375]","[0.9404296875, 0.96630859375, 0.9501953125, 0.9306640625, 0.974609375]",0.9306640625,True,4.00302734375,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N120_w8_seed3301
event4_N120_w8,event4,490.0,120,8,50,3313,0.90380859375,0.7001953125,0.9365560054779053,"[0.9583333730697632, 0.9541015625, 0.912109375, 0.90380859375, 0.9544271230697632]","[0.94677734375, 0.9697265625, 0.947265625, 0.9404296875, 0.9677734375]",0.9404296875,True,3.9857421875,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N120_w8_seed3313
event4_N120_w8,event4,490.0,120,8,50,3323,0.89794921875,0.7099609375,0.9363606691360473,"[0.9518228769302368, 0.9547525644302368, 0.89794921875, 0.9208984375, 0.9563802480697632]","[0.95361328125, 0.97314453125, 0.90966796875, 0.96923828125, 0.97314453125]",0.90966796875,True,3.99775390625,6000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T50_N120_w8_seed3323
event4_N120_w12,event4,490.0,120,12,70,3301,0.90234375,0.701171875,0.93310546875,"[0.9456380605697632, 0.9449869394302368, 0.91259765625, 0.90234375, 0.9599609375]","[0.931640625, 0.95068359375, 0.91748046875, 0.89453125, 0.96923828125]",0.89453125,True,4.00302734375,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N120_w12_seed3301
event4_N120_w12,event4,490.0,120,12,70,3313,0.89013671875,0.67822265625,0.9293619632720947,"[0.9518228769302368, 0.96484375, 0.89013671875, 0.89013671875, 0.9498697519302368]","[0.95166015625, 0.95703125, 0.89111328125, 0.9033203125, 0.958984375]",0.89111328125,True,3.9857421875,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N120_w12_seed3313
event4_N120_w12,event4,490.0,120,12,70,3323,0.9033203125,0.708984375,0.9346028566360474,"[0.9527994394302368, 0.9541015625, 0.9033203125, 0.90771484375, 0.955078125]","[0.94970703125, 0.96337890625, 0.888671875, 0.91943359375, 0.9677734375]",0.888671875,True,3.99775390625,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T70_N120_w12_seed3323
event4_N240_w4,event4,490.0,240,4,30,3301,0.91748046875,0.736328125,0.9405924558639527,"[0.9501953125, 0.9524739980697632, 0.9189453125, 0.91748046875, 0.9638671875]","[0.93408203125, 0.98046875, 0.9892578125, 0.99365234375, 0.98486328125]",0.93408203125,True,4.00302734375,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N240_w4_seed3301
event4_N240_w4,event4,490.0,240,4,30,3313,0.908203125,0.70703125,0.937402319908142,"[0.9547525644302368, 0.9635416269302368, 0.91064453125, 0.908203125, 0.9498697519302368]","[0.9560546875, 0.986328125, 0.9794921875, 0.95849609375, 0.98486328125]",0.9560546875,True,3.9857421875,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N240_w4_seed3313
event4_N240_w4,event4,490.0,240,4,30,3323,0.9130859375,0.73095703125,0.9403971195220947,"[0.9547525644302368, 0.9596353769302368, 0.9130859375, 0.91943359375, 0.955078125]","[0.9443359375, 0.9794921875, 0.9921875, 0.98876953125, 0.98828125]",0.9443359375,True,3.99775390625,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event4\K5\T30_N240_w4_seed3323
