K,condition,total_hidden_neurons,output_window_len,T,seed,worst_query_balanced_accuracy,mean_balanced_accuracy,exact_trial_accuracy,pooled_accuracy,routing_selectivity_gap,per_query_balanced_accuracy,per_output_window_hidden_spikes,delay_query_mean_steps,delay_query_std_steps,delay_query_schedule_mae_steps,run_dir,resource_latency_steps,resource_input_channels,resource_hidden_neurons_layer1,resource_hidden_neurons_layer2,resource_hidden_neurons_total,resource_output_neurons_or_logits,resource_spiking_neurons_total,resource_synapses_input_hidden,resource_synapses_hidden_hidden,resource_synapses_hidden_output,resource_delayed_synapses_total,resource_trainable_parameters,resource_parameter_tensors_total_elements,resource_synaptic_weight_storage_elements,resource_delay_value_storage_elements,resource_trainable_delay_parameters,resource_decoder_parameters,resource_decoder_trainable_parameters,resource_decoder_storage_elements,resource_model_scalar_storage_elements,resource_model_scalar_storage_bytes_fp32,resource_delay_buffer_depth,resource_delay_buffer_elements_per_sample,resource_delay_buffer_bytes_per_sample_fp32,resource_neuron_state_elements_per_sample,resource_neuron_state_bytes_per_sample_fp32,resource_neuron_updates_per_trial,resource_dense_synapse_macs_per_trial,resource_delay_buffer_reads_per_trial,resource_delay_interpolation_elementwise_ops_per_trial,resource_decoder_weight_macs_per_trial,resource_decoder_bias_adds_per_trial,resource_decoder_activation_ops_per_trial,resource_readout_accumulation_adds_per_trial,resource_observation_steps,resource_observation_bins,resource_readout_feature_dim,resource_mean_input_spikes_per_trial,resource_mean_hidden1_spikes_per_trial,resource_mean_hidden2_spikes_per_trial,resource_mean_output_spikes_per_trial,resource_mean_synaptic_events_input_hidden,resource_mean_synaptic_events_hidden_hidden,resource_mean_synaptic_events_hidden_output,resource_mean_synaptic_events_total
5,spatial_independent_d0,40,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[7.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",8.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T30_N40_w4_seed307,30,20,40,0,40,5,40,160,0,0,160,561,561,160,160,0,401,401,401,721,2884,1,20,80,80,320,1200,4800,9600,14400,1800,205,200,1200,30,1,8,20.0,8.5,,,160.0,0.0,0.0,160.0
5,spatial_independent_d0,40,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[7.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",12.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T40_N40_w6_seed307,40,20,40,0,40,5,40,160,0,0,160,561,561,160,160,0,401,401,401,721,2884,1,20,80,80,320,1600,6400,12800,19200,1800,205,200,1600,40,1,8,20.0,8.5,,,160.0,0.0,0.0,160.0
5,spatial_independent_d0,40,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[7.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",16.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T50_N40_w8_seed307,50,20,40,0,40,5,40,160,0,0,160,561,561,160,160,0,401,401,401,721,2884,1,20,80,80,320,2000,8000,16000,24000,1800,205,200,2000,50,1,8,20.0,8.5,,,160.0,0.0,0.0,160.0
5,spatial_independent_d0,80,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[10.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",8.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T30_N80_w4_seed307,30,20,80,0,80,5,80,320,0,0,320,1041,1041,320,320,0,721,721,721,1361,5444,1,20,80,160,640,2400,9600,19200,28800,3400,205,200,2400,30,1,16,20.0,13.5,,,320.0,0.0,0.0,320.0
5,spatial_independent_d0,80,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",12.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T40_N80_w6_seed307,40,20,80,0,80,5,80,320,0,0,320,1041,1041,320,320,0,721,721,721,1361,5444,1,20,80,160,640,3200,12800,25600,38400,3400,205,200,3200,40,1,16,20.0,13.0,,,320.0,0.0,0.0,320.0
5,spatial_independent_d0,80,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[10.25, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",16.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T50_N80_w8_seed307,50,20,80,0,80,5,80,320,0,0,320,1041,1041,320,320,0,721,721,721,1361,5444,1,20,80,160,640,4000,16000,32000,48000,3400,205,200,4000,50,1,16,20.0,13.5,,,320.0,0.0,0.0,320.0
5,spatial_independent_d0,120,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[13.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",8.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T30_N120_w4_seed307,30,20,120,0,120,5,120,480,0,0,480,1521,1521,480,480,0,1041,1041,1041,2001,8004,1,20,80,240,960,3600,14400,28800,43200,5000,205,200,3600,30,1,24,20.0,15.75,,,480.0,0.0,0.0,480.0
5,spatial_independent_d0,120,6,40,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[13.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",12.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T40_N120_w6_seed307,40,20,120,0,120,5,120,480,0,0,480,1521,1521,480,480,0,1041,1041,1041,2001,8004,1,20,80,240,960,4800,19200,38400,57600,5000,205,200,4800,40,1,24,20.0,15.75,,,480.0,0.0,0.0,480.0
5,spatial_independent_d0,120,8,50,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[13.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",16.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T50_N120_w8_seed307,50,20,120,0,120,5,120,480,0,0,480,1521,1521,480,480,0,1041,1041,1041,2001,8004,1,20,80,240,960,6000,24000,48000,72000,5000,205,200,6000,50,1,24,20.0,15.75,,,480.0,0.0,0.0,480.0
5,spatial_independent_d0,160,4,30,307,1.0,1.0,1.0,1.0,0.4963704437017441,"[1.0, 1.0, 1.0, 1.0, 1.0]","[17.75, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",8.0,runs\exploratory\mixedop_spatial_temporal_surface_preview_v1\spatial_independent_d0\K5\T30_N160_w4_seed307,30,20,160,0,160,5,160,640,0,0,640,2001,2001,640,640,0,1361,1361,1361,2641,10564,1,20,80,320,1280,4800,19200,38400,57600,6600,205,200,4800,30,1,32,20.0,19.75,,,640.0,0.0,0.0,640.0
