arm,seed,checkpoint,worst_query_balanced_accuracy,exact_trial_accuracy,minimum_window_activity_fraction,maximum_query_delay_error_steps,delay_query_means,selected_update
oracle,3557,accuracy,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",60
oracle,3557,schedule,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",60
oracle,3569,accuracy,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",120
oracle,3569,schedule,1.0,1.0,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",120
oracle,3591,accuracy,0.9996744394302368,0.99951171875,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",240
oracle,3591,schedule,0.9996744394302368,0.99951171875,1.0,0.0,"[3.0, 7.0, 11.0, 15.0, 19.0]",240
arrival_mass_ce,3557,accuracy,1.0,1.0,1.0,2.01581072807312,"[0.9841892719268799, 7.496053695678711, 11.505206108093262, 15.413925170898438, 18.362163543701172]",320
arrival_mass_ce,3557,schedule,0.998046875,0.99609375,1.0,1.8971750736236572,"[1.1028249263763428, 7.495849132537842, 11.491546630859375, 15.105255126953125, 17.611467361450195]",280
arrival_mass_ce,3569,accuracy,1.0,1.0,1.0,2.0120763778686523,"[0.9879236221313477, 7.49259090423584, 11.50566291809082, 15.408039093017578, 18.349285125732422]",320
arrival_mass_ce,3569,schedule,0.998046875,0.9970703125,1.0,1.8932236433029175,"[1.1067763566970825, 7.496078014373779, 11.489094734191895, 15.092594146728516, 17.591094970703125]",280
arrival_mass_ce,3591,accuracy,1.0,1.0,1.0,1.8965834379196167,"[1.1034165620803833, 7.4955525398254395, 11.491225242614746, 15.109295845031738, 17.614988327026367]",280
arrival_mass_ce,3591,schedule,1.0,1.0,1.0,1.8965834379196167,"[1.1034165620803833, 7.4955525398254395, 11.491225242614746, 15.109295845031738, 17.614988327026367]",280
arrival_centroid_huber,3557,accuracy,0.9996744394302368,0.99951171875,1.0,0.5001230239868164,"[3.4989585876464844, 7.499975681304932, 11.500123023986816, 15.495420455932617, 18.570049285888672]",300
arrival_centroid_huber,3557,schedule,0.9996744394302368,0.99951171875,1.0,0.5001230239868164,"[3.4989585876464844, 7.499975681304932, 11.500123023986816, 15.495420455932617, 18.570049285888672]",300
arrival_centroid_huber,3569,accuracy,1.0,1.0,1.0,0.5008382797241211,"[3.499133825302124, 7.4989752769470215, 11.498018264770508, 15.500838279724121, 19.432567596435547]",380
arrival_centroid_huber,3569,schedule,0.99951171875,0.9990234375,1.0,0.4995880126953125,"[3.4985108375549316, 7.4995880126953125, 11.498976707458496, 15.493817329406738, 18.56235122680664]",300
arrival_centroid_huber,3591,accuracy,1.0,1.0,1.0,0.5006856918334961,"[3.500685691833496, 7.500611305236816, 11.498037338256836, 15.494400978088379, 18.570035934448242]",300
arrival_centroid_huber,3591,schedule,0.9990234375,0.9990234375,1.0,0.49944257736206055,"[3.496814489364624, 7.4994425773620605, 11.498509407043457, 15.499162673950195, 19.018674850463867]",320
