K,hidden_size,decoder,schema_version,latency_steps,input_channels,hidden_neurons_layer1,hidden_neurons_layer2,hidden_neurons_total,output_neurons_or_logits,spiking_neurons_total,synapses_input_hidden,synapses_hidden_hidden,synapses_hidden_output,delayed_synapses_total,trainable_parameters,parameter_tensors_total_elements,synaptic_weight_storage_elements,delay_value_storage_elements,trainable_delay_parameters,decoder_parameters,decoder_trainable_parameters,decoder_storage_elements,model_scalar_storage_elements,model_scalar_storage_bytes_fp32,delay_buffer_depth,delay_buffer_elements_per_sample,delay_buffer_bytes_per_sample_fp32,neuron_state_elements_per_sample,neuron_state_bytes_per_sample_fp32,neuron_updates_per_trial,dense_synapse_macs_per_trial,delay_buffer_reads_per_trial,delay_interpolation_elementwise_ops_per_trial,decoder_weight_macs_per_trial,decoder_bias_adds_per_trial,decoder_activation_ops_per_trial,readout_accumulation_adds_per_trial,observation_mode,observation_steps,observation_bins,readout_feature_dim
1,20,linear,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,101,101,40,40,40,21,21,21,101,404,11,22,88,40,160,400,800,1600,2400,20,1,0,200,late_window,10,1,20
1,20,linear,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,101,101,40,40,40,21,21,21,101,404,11,22,88,40,160,400,800,1600,2400,20,1,0,400,all_time,20,1,20
1,20,linear,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,121,121,40,40,40,41,41,41,121,484,11,22,88,40,160,400,800,1600,2400,40,1,0,400,time_binned,20,2,40
1,20,mlp,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,521,521,40,40,40,441,441,441,521,2084,11,22,88,40,160,400,800,1600,2400,420,21,20,200,late_window,10,1,20
1,20,mlp,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,521,521,40,40,40,441,441,441,521,2084,11,22,88,40,160,400,800,1600,2400,420,21,20,400,all_time,20,1,20
1,20,mlp,resource_ledger_v1,20,2,20,0,20,1,20,40,0,0,40,1761,1761,40,40,40,1681,1681,1681,1761,7044,11,22,88,40,160,400,800,1600,2400,1640,41,40,400,time_binned,20,2,40
1,20,spiking_output,resource_ledger_v1,20,2,20,0,20,1,21,40,0,20,60,120,120,60,60,60,40,40,40,120,480,11,242,968,42,168,420,1200,2400,3600,0,0,0,10,late_window,10,1,1
1,20,spiking_output,resource_ledger_v1,20,2,20,0,20,1,21,40,0,20,60,120,120,60,60,60,40,40,40,120,480,11,242,968,42,168,420,1200,2400,3600,0,0,0,20,all_time,20,1,1
1,50,linear,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,251,251,100,100,100,51,51,51,251,1004,11,22,88,100,400,1000,2000,4000,6000,50,1,0,500,late_window,10,1,50
1,50,linear,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,251,251,100,100,100,51,51,51,251,1004,11,22,88,100,400,1000,2000,4000,6000,50,1,0,1000,all_time,20,1,50
1,50,linear,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,301,301,100,100,100,101,101,101,301,1204,11,22,88,100,400,1000,2000,4000,6000,100,1,0,1000,time_binned,20,2,100
1,50,mlp,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,2801,2801,100,100,100,2601,2601,2601,2801,11204,11,22,88,100,400,1000,2000,4000,6000,2550,51,50,500,late_window,10,1,50
1,50,mlp,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,2801,2801,100,100,100,2601,2601,2601,2801,11204,11,22,88,100,400,1000,2000,4000,6000,2550,51,50,1000,all_time,20,1,50
1,50,mlp,resource_ledger_v1,20,2,50,0,50,1,50,100,0,0,100,10401,10401,100,100,100,10201,10201,10201,10401,41604,11,22,88,100,400,1000,2000,4000,6000,10100,101,100,1000,time_binned,20,2,100
1,50,spiking_output,resource_ledger_v1,20,2,50,0,50,1,51,100,0,50,150,300,300,150,150,150,100,100,100,300,1200,11,572,2288,102,408,1020,3000,6000,9000,0,0,0,10,late_window,10,1,1
1,50,spiking_output,resource_ledger_v1,20,2,50,0,50,1,51,100,0,50,150,300,300,150,150,150,100,100,100,300,1200,11,572,2288,102,408,1020,3000,6000,9000,0,0,0,20,all_time,20,1,1
