interface,threshold,seed,worst_balanced,per_query_balanced,exact_trial_accuracy,silent_rate,tie_rate,collision_rate,mean_output_spikes_per_query
spatial_d0,0.2,0,0.6520000100135803,"[0.828000009059906, 0.9075630307197571, 0.6520000100135803]",0.6299999952316284,0.18133333325386047,0.21133333444595337,0.029999999329447746,1.0206666390101116
spatial_d0,0.2,1,0.8078036308288574,"[0.8078036308288574, 0.9593496322631836, 0.8198198080062866]",0.7480000257492065,0.1446666717529297,0.23600000143051147,0.09133332967758179,1.137333353360494
spatial_d0,0.2,42,0.7669491767883301,"[0.887499988079071, 0.938524603843689, 0.7669491767883301]",0.7519999742507935,0.11933333426713943,0.16466666758060455,0.04533333331346512,1.068666656812032
spatial_d0,0.3,0,0.6240000128746033,"[0.8320000171661377, 0.924369752407074, 0.6240000128746033]",0.6420000195503235,0.09333333373069763,0.10733333230018616,0.014000000432133675,1.003333330154419
spatial_d0,0.3,1,0.7162162065505981,"[0.8412570953369141, 0.955284595489502, 0.7162162065505981]",0.7440000176429749,0.1733333319425583,0.23466666042804718,0.06400000303983688,1.0693333546320598
spatial_d0,0.3,42,0.6906780004501343,"[0.8812500238418579, 0.9262294769287109, 0.6906780004501343]",0.7360000014305115,0.15533334016799927,0.17466667294502258,0.019333332777023315,0.9566666483879089
spatial_d0,0.5,0,0.5,"[0.8259999752044678, 0.924369752407074, 0.5]",0.6399999856948853,0.16466666758060455,0.17466667294502258,0.009999999776482582,0.8940000136693319
spatial_d0,0.5,1,0.5765765905380249,"[0.8685344457626343, 0.8902438879013062, 0.5765765905380249]",0.7039999961853027,0.1979999989271164,0.24133333563804626,0.04333333298563957,1.0173333287239075
spatial_d0,0.5,42,0.5593220591545105,"[0.8458333015441895, 0.938524603843689, 0.5593220591545105]",0.6439999938011169,0.1613333374261856,0.1993333399295807,0.03799999877810478,0.9619999925295512
temporal_scaffold,0.2,0,0.5,"[0.5, 0.8070865869522095, 0.5]",0.24799999594688416,0.2160000056028366,0.2160000056028366,0.0,0.9000000158945719
temporal_scaffold,0.2,1,0.5,"[0.5, 0.6790450811386108, 0.5]",0.2160000056028366,0.30666667222976685,0.30666667222976685,0.0,0.8966666956742605
temporal_scaffold,0.2,42,0.5,"[0.5, 0.579365074634552, 0.5]",0.18199999630451202,0.3499999940395355,0.3499999940395355,0.0,0.7773333440224329
temporal_scaffold,0.3,0,0.5,"[0.5, 1.0, 0.5]",0.3720000088214874,0.0833333358168602,0.1626666635274887,0.0793333351612091,1.106000026067098
temporal_scaffold,0.3,1,0.5,"[0.5, 0.6578249335289001, 0.5]",0.22599999606609344,0.31200000643730164,0.31200000643730164,0.0,0.8026666641235352
temporal_scaffold,0.3,42,0.5,"[0.5, 0.5, 0.5]",0.09600000083446503,0.41200000047683716,0.41200000047683716,0.0,0.690666675567627
temporal_scaffold,0.5,0,0.5,"[0.5, 0.5, 0.5]",0.09200000017881393,0.7273333072662354,0.7273333072662354,0.0,0.272666667898496
temporal_scaffold,0.5,1,0.5,"[0.5, 0.5, 0.5]",0.09200000017881393,0.7246666550636292,0.7246666550636292,0.0,0.4106666718920072
temporal_scaffold,0.5,42,0.5,"[0.5, 0.6534391641616821, 0.5]",0.19200000166893005,0.6460000276565552,0.6679999828338623,0.02199999988079071,0.4426666597525279
