condition,endpoint,seed,pooled_accuracy,worst_accuracy,worst_balanced_accuracy,exact_trial_accuracy,routing_selectivity_gap,silent_rate,tie_rate,collision_rate,hidden_spikes,synaptic_events,neuron_updates,decoder_macs,delay_memory,truth_worst_balanced_accuracy,truth_exact_trial_accuracy
d0,linear,0,0.9866666793823242,0.9599999785423279,0.9600000381469727,0.9599999785423279,0.502144714196523,,,,6.47599983215332,445.59998512268066,1000,150,300,0.96875,0.96875
d0,linear,1,0.9653333425521851,0.9179999828338623,0.922059953212738,0.8960000276565552,0.4427655736605326,,,,9.59000015258789,451.7000198364258,1000,150,300,0.921875,0.90625
d0,linear,42,1.0,1.0,1.0,1.0,0.503991534312566,,,,9.8100004196167,451.200008392334,1000,150,300,1.0,1.0
d0,mlp,0,1.0,1.0,1.0,1.0,0.49777024487654364,,,,5.886000156402588,445.59998512268066,1000,2650,300,1.0,1.0
d0,mlp,1,1.0,1.0,1.0,1.0,0.5031745930512745,,,,7.447999954223633,451.7000198364258,1000,2650,300,1.0,1.0
d0,mlp,42,1.0,1.0,1.0,1.0,0.503991534312566,,,,8.70199966430664,451.200008392334,1000,2650,300,1.0,1.0
d0,opponent_parallel,0,0.8700000047683716,0.8259999752044678,0.6520000100135803,0.6299999952316284,0.31034050881862646,0.18133333325386047,0.21133333444595337,0.029999999329447746,11.368000030517578,513.8079853057861,1120,0,600,0.65625,0.625
d0,opponent_parallel,1,0.9053333401679993,0.8159999847412109,0.8078036308288574,0.7480000257492065,0.3746467928091685,0.1446666717529297,0.23600000143051147,0.09133332967758179,12.71399974822998,527.9840183258057,1120,0,600,0.8125,0.75
d0,opponent_parallel,42,0.9173333048820496,0.8899999856948853,0.7669491767883301,0.7519999742507935,0.38458090523878735,0.11933333426713943,0.16466666758060455,0.04533333331346512,14.460000038146973,537.9600086212158,1120,0,600,0.75,0.734375
fixed_matched,linear,0,0.9973333477973938,0.9919999837875366,0.9839999675750732,0.9919999837875366,0.4919784565766653,,,,8.972000122070312,445.59998512268066,1000,150,300,0.96875,0.984375
fixed_matched,linear,1,0.972000002861023,0.9160000085830688,0.9204838275909424,0.9160000085830688,0.4619627197583517,,,,9.267999649047852,451.7000198364258,1000,150,300,0.921875,0.921875
fixed_matched,linear,42,0.9919999837875366,0.9760000109672546,0.9750000238418579,0.9760000109672546,0.4956859052181244,,,,8.57800006866455,451.200008392334,1000,150,300,0.984375,0.984375
fixed_matched,mlp,0,1.0,1.0,1.0,1.0,0.49777024487654364,,,,6.670000076293945,445.59998512268066,1000,2650,300,1.0,1.0
fixed_matched,mlp,1,1.0,1.0,1.0,1.0,0.5031745930512745,,,,6.260000228881836,451.7000198364258,1000,2650,300,1.0,1.0
fixed_matched,mlp,42,1.0,1.0,1.0,1.0,0.503991534312566,,,,5.9039998054504395,451.200008392334,1000,2650,300,1.0,1.0
fixed_matched,opponent_parallel,0,0.9259999990463257,0.878000020980835,0.800000011920929,0.8059999942779541,0.38945761819680524,0.10400000214576721,0.19066666066646576,0.09933333098888397,14.935999870300293,535.2159843444824,1120,0,600,0.8125,0.8125
fixed_matched,opponent_parallel,1,0.9086666703224182,0.7979999780654907,0.7860910892486572,0.765999972820282,0.42508073647816974,0.1353333294391632,0.17466667294502258,0.08266666531562805,16.416000366210938,550.1960220336914,1120,0,600,0.78125,0.75
fixed_matched,opponent_parallel,42,0.8880000114440918,0.7160000205039978,0.7052884697914124,0.6759999990463257,0.34482354422410333,0.09733333438634872,0.2199999988079071,0.1679999977350235,15.73799991607666,545.628007888794,1120,0,600,0.703125,0.65625
scalar,linear,0,0.9866666793823242,0.9599999785423279,0.9600000381469727,0.9599999785423279,0.502144714196523,,,,6.935999870300293,445.59998512268066,1000,150,1,0.96875,0.96875
scalar,linear,1,0.9626666903495789,0.8880000114440918,0.8955223560333252,0.8880000114440918,0.4491673459609349,,,,9.244000434875488,451.7000198364258,1000,150,1,0.890625,0.890625
scalar,linear,42,0.9919999837875366,0.9760000109672546,0.9761217832565308,0.9760000109672546,0.5006493379672369,,,,9.527999877929688,451.200008392334,1000,150,1,0.96875,0.96875
scalar,mlp,0,1.0,1.0,1.0,1.0,0.49777024487654364,,,,5.547999858856201,445.59998512268066,1000,2650,1,1.0,1.0
scalar,mlp,1,1.0,1.0,1.0,1.0,0.5031745930512745,,,,7.849999904632568,451.7000198364258,1000,2650,1,1.0,1.0
scalar,mlp,42,1.0,1.0,1.0,1.0,0.503991534312566,,,,7.811999797821045,451.200008392334,1000,2650,1,1.0,1.0
