endpoint,condition,n,worst_balanced_accuracy_mean,worst_balanced_accuracy_sd,exact_trial_accuracy_mean,exact_trial_accuracy_sd,truth_worst_balanced_accuracy_mean,truth_worst_balanced_accuracy_sd,truth_exact_trial_accuracy_mean,truth_exact_trial_accuracy_sd,hidden_spikes_mean,hidden_spikes_sd,synaptic_events_mean,synaptic_events_sd,silent_rate_mean,silent_rate_sd,tie_rate_mean,tie_rate_sd,collision_rate_mean,collision_rate_sd
linear,d0,3,0.9606866637865702,0.03897455983557557,0.9520000020662943,0.05245949179673912,0.9635416666666666,0.039322054350368486,0.9583333333333334,0.04773516348912333,8.625333468119303,1.8646249859943023,449.50000445048016,3.38675595946369,,,,,,
linear,fixed_matched,3,0.9598279396692911,0.03436886837278053,0.9613333344459534,0.040066602150735174,0.9583333333333334,0.03252603124165832,0.9635416666666666,0.03608439182435161,8.939333279927572,0.34615776340271043,449.50000445048016,3.38675595946369,,,,,,
linear,scalar,3,0.9438813924789429,0.04264885661780189,0.9413333336512247,0.046875715489334925,0.9427083333333334,0.04510548978043951,0.9427083333333334,0.04510548978043951,8.56933339436849,1.421617994240207,449.50000445048016,3.38675595946369,,,,,,
linear,w_and_d,3,0.9563946922620138,0.024648438221546946,0.9599999984105428,0.03000000119209783,0.953125,0.015625,0.9583333333333334,0.023867581744561665,9.478000005086264,1.7504479507514112,449.50000445048016,3.38675595946369,,,,,,
mlp,d0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.345333258310954,1.4108042546597974,449.50000445048016,3.38675595946369,,,,,,
mlp,fixed_matched,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.278000036875407,0.3833172296531101,449.50000445048016,3.38675595946369,,,,,,
mlp,scalar,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0699998537699384,1.3182275943165063,449.50000445048016,3.38675595946369,,,,,,
mlp,w_and_d,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.061333179473877,2.1487077271805846,449.50000445048016,3.38675595946369,,,,,,
opponent_parallel,d0,3,0.742250939210256,0.08078486411070397,0.7099999984105428,0.06931089581352684,0.7395833333333334,0.07864410870073699,0.703125,0.06810779599282303,12.847333272298178,1.5503062224203892,526.5840040842692,12.136724742064619,0.1484444464246432,0.03117216153382746,0.20400000115235647,0.036227675366103766,0.05555555410683155,0.0319188768812373
opponent_parallel,fixed_matched,3,0.7637931903203329,0.05114162957514286,0.7493333220481873,0.06658327587333832,0.765625,0.05633673867912483,0.7395833333333334,0.07864410870073699,15.696666717529297,0.7408655019303809,543.6800047556559,7.677657158767059,0.11222222199042638,0.020290480043210206,0.19511111080646515,0.0229911387545903,0.11666666467984517,0.04523027468500959
opponent_parallel,scalar,3,0.8023602167765299,0.05918719160315578,0.7773333191871643,0.07223111611167089,0.8072916666666666,0.05487319662944135,0.7708333333333334,0.05915529526875286,14.118000030517578,0.49589140169241364,534.2080046335856,6.30587933337572,0.13511110842227936,0.03628488135919957,0.1451111137866974,0.04023449908575184,0.009999999776482582,0.007571877436559436
opponent_parallel,w_and_d,3,0.8037449518839518,0.13758896404566232,0.887333333492279,0.05601192265419103,0.8072916666666666,0.12725824711323558,0.8802083333333334,0.05022734771350497,16.454000155131023,2.131016581971661,548.2240053812662,16.039716287300138,0.07555555428067844,0.02467867424881537,0.07800000036756198,0.02490872095514113,0.0033333332588275275,0.005773502562848416
