condition,time_bin,candidate_two_hop_mass,realized_output_arrival_mass
d0,0,0.0,0.0
d0,1,0.0,0.0
d0,2,0.0,0.0
d0,3,0.3333333333333333,0.23203481832168138
d0,4,0.3333333333333333,0.47557160779731456
d0,5,0.0,0.0
d0,6,0.0,0.0
d0,7,0.0,0.0
d0,8,0.0,0.0
d0,9,0.3333333333333333,0.29239357388100407
d0,10,0.0,0.0
d0,11,0.0,0.0
d0,12,0.0,0.0
d0,13,0.0,0.0
d0,14,0.0,0.0
d0,15,0.0,0.0
d0,16,0.0,0.0
d0,17,0.0,0.0
d0,18,0.0,0.0
d0,19,0.0,0.0
d0,20,0.0,0.0
d0,21,0.0,0.0
d0,22,0.0,0.0
d0,23,0.0,0.0
d0,24,0.0,0.0
d0,25,0.0,0.0
d0,26,0.0,0.0
d0,27,0.0,0.0
d0,28,0.0,0.0
d0,29,0.0,0.0
d0,30,0.0,0.0
d0,31,0.0,0.0
d0,32,0.0,0.0
d0,33,0.0,0.0
d0,34,0.0,0.0
d0,35,0.0,0.0
d0,36,0.0,0.0
d0,37,0.0,0.0
d0,38,0.0,0.0
d0,39,0.0,0.0
d0,40,0.0,0.0
d0,41,0.0,0.0
d0,42,0.0,0.0
d0,43,0.0,0.0
d0,44,0.0,0.0
d0,45,0.0,0.0
d0,46,0.0,0.0
d0,47,0.0,0.0
d0,48,0.0,0.0
d0,49,0.0,0.0
d0,50,0.0,0.0
d0,51,0.0,0.0
d0,52,0.0,0.0
d0,53,0.0,0.0
d0,54,0.0,0.0
d0,55,0.0,0.0
d0,56,0.0,0.0
d0,57,0.0,0.0
d0,58,0.0,0.0
d0,59,0.0,0.0
d0,60,0.0,0.0
d0,61,0.0,0.0
d0,62,0.0,0.0
d0,63,0.0,0.0
d0,64,0.0,0.0
d0,65,0.0,0.0
d0,66,0.0,0.0
d0,67,0.0,0.0
d0,68,0.0,0.0
d0,69,0.0,0.0
d0,70,0.0,0.0
d0,71,0.0,0.0
scalar,0,0.0,0.0
scalar,1,0.0,0.0
scalar,2,0.0,0.0
scalar,3,0.0,0.0
scalar,4,0.0,0.0
scalar,5,0.0,0.0
scalar,6,0.0,0.0
scalar,7,0.0,0.0
scalar,8,0.0,0.0
scalar,9,0.3333333333333333,0.14032146313733856
scalar,10,0.3333333333333333,0.658767381469307
scalar,11,0.0,0.0
scalar,12,0.0,0.0
scalar,13,0.0,0.0
scalar,14,0.0,0.0
scalar,15,0.3333333333333333,0.20091115539335444
scalar,16,0.0,0.0
scalar,17,0.0,0.0
scalar,18,0.0,0.0
scalar,19,0.0,0.0
scalar,20,0.0,0.0
scalar,21,0.0,0.0
scalar,22,0.0,0.0
scalar,23,0.0,0.0
scalar,24,0.0,0.0
scalar,25,0.0,0.0
scalar,26,0.0,0.0
scalar,27,0.0,0.0
scalar,28,0.0,0.0
scalar,29,0.0,0.0
scalar,30,0.0,0.0
scalar,31,0.0,0.0
scalar,32,0.0,0.0
scalar,33,0.0,0.0
scalar,34,0.0,0.0
scalar,35,0.0,0.0
scalar,36,0.0,0.0
scalar,37,0.0,0.0
scalar,38,0.0,0.0
scalar,39,0.0,0.0
scalar,40,0.0,0.0
scalar,41,0.0,0.0
scalar,42,0.0,0.0
scalar,43,0.0,0.0
scalar,44,0.0,0.0
scalar,45,0.0,0.0
scalar,46,0.0,0.0
scalar,47,0.0,0.0
scalar,48,0.0,0.0
scalar,49,0.0,0.0
scalar,50,0.0,0.0
scalar,51,0.0,0.0
scalar,52,0.0,0.0
scalar,53,0.0,0.0
scalar,54,0.0,0.0
scalar,55,0.0,0.0
scalar,56,0.0,0.0
scalar,57,0.0,0.0
scalar,58,0.0,0.0
scalar,59,0.0,0.0
scalar,60,0.0,0.0
scalar,61,0.0,0.0
scalar,62,0.0,0.0
scalar,63,0.0,0.0
scalar,64,0.0,0.0
scalar,65,0.0,0.0
scalar,66,0.0,0.0
scalar,67,0.0,0.0
scalar,68,0.0,0.0
scalar,69,0.0,0.0
scalar,70,0.0,0.0
