condition,layer,n,min,p25,median,p75,max,fraction_ge_10,fraction_ge_20,fraction_ge_25
d0,input_hidden,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0,hidden_output,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalar,input_hidden,300,2.9996414184570312,2.9996414184570312,2.9996414184570312,2.9996414184570312,2.9996414184570312,0.0,0.0,0.0
scalar,hidden_output,100,3.038560152053833,3.038560152053833,3.038560152053833,3.038560152053833,3.038560152053833,0.0,0.0,0.0
fixed_matched,input_hidden,300,1.0098881721496582,2.740633010864258,4.787161827087402,6.616146564483643,8.976531982421875,0.0,0.0,0.0
fixed_matched,hidden_output,100,1.0098881721496582,2.6599762439727783,5.059113502502441,6.8420915603637695,8.976531982421875,0.0,0.0,0.0
fixed_full_support,input_hidden,300,0.03708064556121826,6.527373790740967,14.201857566833496,21.060550689697266,29.911996841430664,0.63,0.30666666666666664,0.14666666666666667
fixed_full_support,hidden_output,100,0.03708064556121826,6.224910736083984,15.221675872802734,21.90784454345703,29.911996841430664,0.62,0.35,0.15
temporal_scaffold,input_hidden,300,8.0,8.0,18.0,28.0,28.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
temporal_scaffold,hidden_output,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w_and_d,input_hidden,300,0.8366507291793823,1.99159836769104,3.425018310546875,7.256694793701172,20.126628875732422,0.19333333333333333,0.006666666666666667,0.0
w_and_d,hidden_output,100,1.2715591192245483,3.557182788848877,3.9002480506896973,5.297499656677246,14.19936466217041,0.04,0.0,0.0
