condition,window,objective,loss,delay_ih_grad_norm,delay_ih_grad_nonzero_fraction,delay_ih_descent_effective_shift_mean,delay_ih_descent_increase_fraction,delay_ho_grad_norm,delay_ho_grad_nonzero_fraction,delay_ho_descent_effective_shift_mean,delay_ho_descent_increase_fraction,weight_ih_grad_norm,weight_ih_grad_nonzero_fraction,weight_ho_grad_norm,weight_ho_grad_nonzero_fraction
d0,0,spike,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430623322725296,1.0,0.04803035780787468,0.3499999940395355
d0,0,membrane,0.8561930656433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647294282913208,1.0,0.058007773011922836,0.3499999940395355
d0,0,combined,0.8643857836723328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26080960035324097,1.0,0.052562206983566284,0.3499999940395355
d0,1,spike,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383179545402527,1.0,0.1175653487443924,0.3499999940395355
d0,1,membrane,0.7329068183898926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375672996044159,1.0,0.008380894549190998,0.3499999940395355
d0,1,combined,0.8397285342216492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468052387237549,1.0,0.11903946101665497,0.3499999940395355
d0,2,spike,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7773493528366089,1.0,0.041731785982847214,0.3499999940395355
d0,2,membrane,0.7914704084396362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19092479348182678,1.0,0.010083915665745735,0.3499999940395355
d0,2,combined,0.8514412641525269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8144753575325012,1.0,0.043732281774282455,0.3499999940395355
scalar,0,spike,0.47471219301223755,0.04896926134824753,1.0,-0.13220296800136566,0.0,0.11955412477254868,1.0,-0.3264782130718231,0.0,0.7727113366127014,1.0,0.2070939689874649,0.5899999737739563
scalar,0,membrane,0.566387951374054,0.05529830977320671,1.0,-0.1492895781993866,0.0,0.3347826302051544,1.0,-0.9142239093780518,0.0,0.06248632073402405,1.0,0.05287199094891548,0.5899999737739563
scalar,0,combined,0.5879898071289062,0.0600290410220623,1.0,-0.1620611995458603,0.0,0.18651072680950165,1.0,-0.509323239326477,0.0,0.7799187302589417,1.0,0.21020227670669556,0.5899999737739563
scalar,1,spike,0.6931471824645996,0.48510974645614624,1.0,-1.3096572160720825,0.0,0.08405502885580063,1.0,0.22953733801841736,1.0,3.1787877082824707,1.0,0.22553347051143646,0.41999998688697815
scalar,1,membrane,0.7279563546180725,0.06617572158575058,1.0,-0.1786554753780365,0.0,0.011163412593305111,1.0,0.030485030263662338,1.0,0.4697798192501068,1.0,0.03819024935364723,0.41999998688697815
scalar,1,combined,0.8387384414672852,0.49834534525871277,1.0,-1.345389485359192,0.0,0.086287721991539,1.0,0.23563438653945923,1.0,3.2715137004852295,1.0,0.23163223266601562,0.41999998688697815
scalar,2,spike,0.6931471824645996,0.9402807950973511,1.0,2.5384883880615234,1.0,0.00045867226435802877,1.0,0.0012525415513664484,1.0,2.3794643878936768,1.0,0.0589638277888298,0.41999998688697815
scalar,2,membrane,0.7711719274520874,0.1667904108762741,1.0,0.45028626918792725,1.0,0.000179567578015849,1.0,-0.0004903628723695874,0.0,0.38127267360687256,1.0,0.014222580008208752,0.41999998688697815
scalar,2,combined,0.847381591796875,0.9736393094062805,1.0,2.628546953201294,1.0,0.000422765442635864,1.0,0.0011544872540980577,1.0,2.4549708366394043,1.0,0.061557039618492126,0.41999998688697815
fixed_matched,0,spike,0.5490837097167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4851219952106476,1.0,0.171868234872818,0.5
fixed_matched,0,membrane,0.662179172039032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713607594370842,1.0,0.0372333824634552,0.4300000071525574
fixed_matched,0,combined,0.6815195679664612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49506402015686035,1.0,0.17591795325279236,0.5
fixed_matched,1,spike,0.6100472211837769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8033275604248047,1.0,0.26187410950660706,0.5
fixed_matched,1,membrane,0.5936703681945801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42420732975006104,1.0,0.05592207983136177,0.5
fixed_matched,1,combined,0.7287812829017639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.887326717376709,1.0,0.2713248133659363,0.5
fixed_matched,2,spike,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.240407705307007,1.0,0.09689531475305557,0.5
fixed_matched,2,membrane,0.7795745134353638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3491184413433075,1.0,0.019767196848988533,0.5
fixed_matched,2,combined,0.8490620851516724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30825138092041,1.0,0.10052373260259628,0.5
fixed_full_support,0,spike,0.6438294649124146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277609944343567,0.28999999165534973,0.09908154606819153,0.18000000715255737
