condition,window,start,end,hidden_spikes_mean,hidden_activity_fraction,output_spikes_mean,output_activity_fraction,output_abs_current_mean,output_current_support_fraction,signed_current_label1_mean,signed_current_label0_mean,signed_current_class_gap
d0,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0,1,20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0,2,30,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalar,0,10,20,1.703125,0.671875,0.8125,0.75,6.069676399230957,1.0,3.95967435836792,-2.3231844902038574,6.282858848571777
scalar,1,20,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalar,2,30,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_matched,0,10,20,4.109375,1.0,0.90625,0.78125,12.299849510192871,1.0,3.80824875831604,0.2864518165588379,3.521796941757202
fixed_matched,1,20,30,0.0,0.0,0.21875,0.21875,1.345279574394226,0.84375,1.318732500076294,-0.5183746814727783,1.8371071815490723
fixed_matched,2,30,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_full_support,0,10,20,10.484375,1.0,0.59375,0.546875,5.557918548583984,1.0,2.132092237472534,1.3201018571853638,0.8119903802871704
fixed_full_support,1,20,30,2.90625,1.0,1.09375,0.875,8.81794261932373,1.0,4.051051616668701,0.8340306282043457,3.2170209884643555
fixed_full_support,2,30,40,1.65625,1.0,1.46875,0.78125,12.414676666259766,1.0,1.0108479261398315,-14.328032493591309,15.33888041973114
temporal_scaffold,0,10,20,3.5,1.0,1.0,1.0,4.704964637756348,1.0,4.655646324157715,4.655646800994873,-4.76837158203125e-07
temporal_scaffold,1,20,30,2.75,1.0,0.625,0.625,4.514476299285889,1.0,2.8135149478912354,-6.377081394195557,9.190596342086792
temporal_scaffold,2,30,40,9.453125,0.75,1.109375,0.75,19.30636978149414,0.75,0.0,-25.7418270111084,25.7418270111084
w_and_d,0,10,20,7.953125,1.0,1.0,0.8125,14.653045654296875,1.0,9.253325462341309,-1.9427015781402588,11.196027040481567
w_and_d,1,20,30,1.078125,0.671875,1.21875,0.8125,9.3017578125,1.0,4.650365352630615,-15.48717975616455,20.137545108795166
w_and_d,2,30,40,0.0,0.0,0.34375,0.34375,4.407786846160889,0.703125,-2.6733875274658203,-4.985919952392578,2.312532424926758
