condition,seed,primary_min_operation_position_balanced,mean_operation_position_balanced,mean_exact_trial_accuracy,worst_order_balanced_accuracy,min_output_current_support,mean_synaptic_events
d0,7,0.5,0.5,0.08799999952316284,0.5,0.0,477.68798955281574
d0,19,0.5,0.5,0.10066666702429454,0.5,0.0,480.1546827952067
d0,73,0.5,0.5,0.09200000017881393,0.5,0.0,473.9426555633545
scalar,7,0.5,0.6217330627971225,0.19533333679040274,0.5,0.0,474.2959899902344
scalar,19,0.5,0.6125479141871134,0.23599999646345773,0.5,0.0,472.08001645406085
scalar,73,0.5,0.6047720180617439,0.17799999316533408,0.5,0.0,471.7839889526367
fixed_matched,7,0.5,0.6133445700009664,0.18266666432221731,0.5,0.0,476.0266571044922
fixed_matched,19,0.5,0.6250505050023397,0.16933332880338034,0.5,0.0,476.0146834055583
fixed_matched,73,0.5,0.6446500486797757,0.2226666659116745,0.5,0.0,478.41998863220215
fixed_full_support,7,0.5,0.667538132932451,0.3526666710774104,0.5,0.75,481.2013231913249
fixed_full_support,19,0.486308217048645,0.6677423318227133,0.3440000017484029,0.486308217048645,1.0,484.14134979248047
fixed_full_support,73,0.48153483867645264,0.6324818929036459,0.2813333322604497,0.48153483867645264,1.0,482.96665636698407
w_and_d,7,0.5,0.7112333509657118,0.36400000502665836,0.5,0.0,491.29065640767413
w_and_d,19,0.5,0.722573909494612,0.3866666654745738,0.5,0.0,484.5480155944824
w_and_d,73,0.5,0.767073412736257,0.4813333253065745,0.5,0.0,488.57065709431964
