condition,N_hidden_total,K,seeds_observed,seeds_passing,required_seed_passes,pass_reliability,minimum_worst_query_balanced_accuracy,minimum_exact_trial_accuracy
independent_spatial_d0,1,1,3,0,3,False,0.5,0.5
independent_spatial_d0,2,1,3,0,3,False,0.5,0.5
independent_spatial_d0,2,2,3,0,3,False,0.5,0.5
independent_spatial_d0,3,1,3,1,3,False,0.75,0.75
independent_spatial_d0,3,3,3,0,3,False,0.5,0.28125
independent_spatial_d0,4,1,3,1,3,False,0.75,0.75
independent_spatial_d0,4,2,3,0,3,False,0.75,0.75
independent_spatial_d0,4,4,3,0,3,False,0.5,0.20556640625
independent_spatial_d0,6,1,3,3,3,True,1.0,1.0
independent_spatial_d0,6,2,3,0,3,False,0.75,0.75
independent_spatial_d0,6,3,3,0,3,False,0.75,0.41162109375
independent_spatial_d0,6,6,3,0,3,False,0.5,0.1474609375
independent_spatial_d0,8,1,3,3,3,True,1.0,1.0
independent_spatial_d0,8,2,3,1,3,False,0.75,0.75
independent_spatial_d0,8,4,3,0,3,False,0.5,0.28125
independent_spatial_d0,8,8,3,0,3,False,0.5,0.07470703125
independent_spatial_d0,12,1,3,3,3,True,1.0,1.0
independent_spatial_d0,12,2,3,3,3,True,1.0,1.0
independent_spatial_d0,12,3,3,2,3,False,0.75,0.75
independent_spatial_d0,12,4,3,0,3,False,0.75,0.4169921875
independent_spatial_d0,12,6,3,0,3,False,0.5,0.15771484375
independent_spatial_d0,12,12,3,0,3,False,0.5,0.02392578125
independent_spatial_d0,16,1,3,3,3,True,1.0,1.0
independent_spatial_d0,16,2,3,3,3,True,1.0,1.0
independent_spatial_d0,16,4,3,1,3,False,0.75,0.56396484375
independent_spatial_d0,16,8,3,0,3,False,0.5,0.18798828125
independent_spatial_d0,16,16,3,0,3,False,0.5,0.001953125
independent_spatial_d0,24,1,3,3,3,True,1.0,1.0
independent_spatial_d0,24,2,3,3,3,True,1.0,1.0
independent_spatial_d0,24,3,3,3,3,True,1.0,1.0
independent_spatial_d0,24,4,3,3,3,True,1.0,1.0
independent_spatial_d0,24,6,3,1,3,False,0.75,0.55810546875
independent_spatial_d0,24,8,3,1,3,False,0.75,0.22509765625
independent_spatial_d0,24,12,3,0,3,False,0.5,0.02685546875
independent_spatial_d0,32,1,3,3,3,True,1.0,1.0
independent_spatial_d0,32,2,3,3,3,True,1.0,1.0
independent_spatial_d0,32,4,3,3,3,True,1.0,1.0
independent_spatial_d0,32,8,3,2,3,False,0.75,0.4228515625
independent_spatial_d0,32,16,3,0,3,False,0.5,0.00390625
shared_d0,1,1,3,1,3,False,0.5,0.5
shared_d0,1,2,3,0,3,False,0.5,0.37255859375
shared_d0,1,3,3,0,3,False,0.5,0.14599609375
shared_d0,1,4,3,0,3,False,0.5,0.076171875
shared_d0,1,6,3,0,3,False,0.5,0.01904296875
shared_d0,1,8,3,0,3,False,0.5,0.0048828125
shared_d0,1,12,3,0,3,False,0.5,0.00048828125
shared_d0,1,16,3,0,3,False,0.5,0.0
shared_d0,2,1,3,1,3,False,0.75,0.75
shared_d0,2,2,3,0,3,False,0.5,0.3740234375
shared_d0,2,3,3,0,3,False,0.5,0.162109375
shared_d0,2,4,3,0,3,False,0.5,0.09521484375
shared_d0,2,6,3,0,3,False,0.5,0.02099609375
shared_d0,2,8,3,0,3,False,0.5,0.0048828125
shared_d0,2,12,3,0,3,False,0.5,0.00048828125
shared_d0,2,16,3,0,3,False,0.5,0.0
shared_d0,3,1,3,3,3,True,1.0,1.0
shared_d0,3,2,3,0,3,False,0.5,0.32080078125
shared_d0,3,3,3,0,3,False,0.5,0.16650390625
shared_d0,3,4,3,0,3,False,0.5,0.0908203125
shared_d0,3,6,3,0,3,False,0.5,0.0234375
shared_d0,3,8,3,0,3,False,0.5,0.0048828125
shared_d0,3,12,3,0,3,False,0.5,0.00048828125
shared_d0,3,16,3,0,3,False,0.5,0.0
shared_d0,4,1,3,2,3,False,0.75,0.75
shared_d0,4,2,3,0,3,False,0.5,0.37939453125
