condition,K,minimum_passing_N_hidden_total,right_censored
independent_spatial_d0,1,6,False
independent_spatial_d0,2,12,False
independent_spatial_d0,3,24,False
independent_spatial_d0,4,24,False
independent_spatial_d0,6,,True
independent_spatial_d0,8,,True
independent_spatial_d0,12,,True
independent_spatial_d0,16,,True
shared_d0,1,3,False
shared_d0,2,,True
shared_d0,3,,True
shared_d0,4,,True
shared_d0,6,,True
shared_d0,8,,True
shared_d0,12,,True
shared_d0,16,,True
shared_temporal_fixed,1,6,False
shared_temporal_fixed,2,4,False
shared_temporal_fixed,3,6,False
shared_temporal_fixed,4,4,False
shared_temporal_fixed,6,6,False
shared_temporal_fixed,8,6,False
shared_temporal_fixed,12,24,False
shared_temporal_fixed,16,,True
