condition,N_hidden_total,capacity_observed,capacity,censoring
independent_spatial_d0,1,,,below_tested_K
independent_spatial_d0,2,,,below_tested_K
independent_spatial_d0,3,,,below_tested_K
independent_spatial_d0,4,,,below_tested_K
independent_spatial_d0,6,1,1,none
independent_spatial_d0,8,1,1,none
independent_spatial_d0,12,3,3,none
independent_spatial_d0,16,2,2,none
independent_spatial_d0,24,4,4,none
independent_spatial_d0,32,8,8,none
shared_d0,1,,,below_tested_K
shared_d0,2,,,below_tested_K
shared_d0,3,1,1,none
shared_d0,4,1,1,none
shared_d0,6,1,1,none
shared_d0,8,1,1,none
shared_d0,12,1,1,none
shared_d0,16,1,1,none
shared_d0,24,1,1,none
shared_d0,32,1,1,none
shared_temporal_fixed,1,,,below_tested_K
shared_temporal_fixed,2,,,below_tested_K
shared_temporal_fixed,3,,,below_tested_K
shared_temporal_fixed,4,6,6,none
shared_temporal_fixed,6,8,8,none
shared_temporal_fixed,8,8,8,none
shared_temporal_fixed,12,8,8,none
shared_temporal_fixed,16,8,8,none
shared_temporal_fixed,24,12,12,none
shared_temporal_fixed,32,12,12,none
