condition,output_budget_B,K,seeds_observed,seeds_passing,required_seed_passes,expected_seed_count,pass_reliability,minimum_worst_query_balanced_accuracy,minimum_exact_trial_accuracy
shared_temporal_fixed,24,1,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,24,2,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,24,3,3,3,2,3,True,0.982421875,0.982421875
shared_temporal_fixed,24,4,3,3,2,3,True,0.9951171875,0.9951171875
shared_temporal_fixed,24,6,3,0,2,3,False,0.78662109375,0.44775390625
shared_temporal_fixed,24,8,3,0,2,3,False,0.66015625,0.19091796875
shared_temporal_fixed,48,1,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,48,2,3,3,2,3,True,0.94189453125,0.94189453125
shared_temporal_fixed,48,3,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,48,4,3,2,2,3,True,0.87255859375,0.78759765625
shared_temporal_fixed,48,6,3,3,2,3,True,0.982421875,0.96630859375
shared_temporal_fixed,48,8,3,3,2,3,True,0.984375,0.9677734375
shared_temporal_fixed,72,1,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,72,2,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,72,3,3,2,2,3,True,0.75,0.75
shared_temporal_fixed,72,4,3,2,2,3,True,0.75,0.75
shared_temporal_fixed,72,6,3,2,2,3,True,0.890625,0.77978515625
shared_temporal_fixed,72,8,3,3,2,3,True,0.9716796875,0.94580078125
shared_temporal_fixed,96,1,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,96,2,3,3,2,3,True,1.0,1.0
shared_temporal_fixed,96,3,3,2,2,3,True,0.75,0.75
shared_temporal_fixed,96,4,3,3,2,3,True,0.982421875,0.9736328125
shared_temporal_fixed,96,6,3,3,2,3,True,0.984375,0.97998046875
shared_temporal_fixed,96,8,3,2,2,3,True,0.9326171875,0.88720703125
