condition,T,total_latency_steps,surface_hidden_width,hidden_width_semantics,seed,pooled_accuracy,worst_query_accuracy,worst_query_balanced_accuracy,exact_trial_accuracy,per_query_balanced_accuracy,routing_selectivity_gap,mean_hidden_spikes,mean_active_hidden_fraction,hidden_neurons_total,latency_steps,neuron_updates_per_trial,dense_synapse_macs_per_trial,mean_synaptic_events_total,delay_value_storage_elements,delay_buffer_elements_per_sample,neuron_state_elements_per_sample,decoder_parameters,decoder_weight_macs_per_trial,trainable_parameters,trainable_delay_parameters,model_scalar_storage_elements
shared_spatial_d0,18,18,16,shared_hidden_total_hprime,307,0.875,0.8125,0.8125,0.8125,"[0.8125, 0.9375]",0.375,2.25,0.140625,16,18,288,2304,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,18,18,16,shared_hidden_total_hprime,613,0.6875,0.6875,0.6875,0.5,"[0.6875, 0.6875]",-0.0625,1.25,0.078125,16,18,288,2304,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,18,18,24,shared_hidden_total_hprime,307,1.0,1.0,1.0,1.0,"[1.0, 1.0]",0.5,2.375,0.0989583358168602,24,18,432,3456,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,18,18,24,shared_hidden_total_hprime,613,0.90625,0.8125,0.8125,0.8125,"[0.8125, 1.0]",0.4375,2.6875,0.1119791716337204,24,18,432,3456,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,18,18,4,shared_hidden_total_hprime,307,0.65625,0.5625,0.5625,0.4375,"[0.5625, 0.75]",0.125,0.3125,0.078125,4,18,72,576,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,18,18,4,shared_hidden_total_hprime,613,0.65625,0.625,0.625,0.4375,"[0.6875, 0.625]",0.0625,0.3125,0.078125,4,18,72,576,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,18,18,8,shared_hidden_total_hprime,307,0.71875,0.625,0.625,0.5625,"[0.625, 0.8125]",0.1875,0.5625,0.0703125,8,18,144,1152,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,18,18,8,shared_hidden_total_hprime,613,0.78125,0.6875,0.6875,0.625,"[0.875, 0.6875]",0.125,1.125,0.140625,8,18,144,1152,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,22,22,16,shared_hidden_total_hprime,307,0.8125,0.6875,0.6875,0.6875,"[0.6875, 0.9375]",0.25,2.125,0.1328125,16,22,352,2816,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,22,22,16,shared_hidden_total_hprime,613,0.6875,0.625,0.625,0.4375,"[0.75, 0.625]",0.0,1.1875,0.07421875,16,22,352,2816,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,22,22,24,shared_hidden_total_hprime,307,0.96875,0.9375,0.9375,0.9375,"[1.0, 0.9375]",0.4375,2.125,0.0885416641831398,24,22,528,4224,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,22,22,24,shared_hidden_total_hprime,613,0.9375,0.875,0.875,0.875,"[0.875, 1.0]",0.5,2.75,0.1145833432674408,24,22,528,4224,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,22,22,4,shared_hidden_total_hprime,307,0.625,0.5625,0.5625,0.375,"[0.5625, 0.6875]",0.0,0.25,0.0625,4,22,88,704,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,22,22,4,shared_hidden_total_hprime,613,0.65625,0.625,0.625,0.4375,"[0.6875, 0.625]",0.0625,0.3125,0.078125,4,22,88,704,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,22,22,8,shared_hidden_total_hprime,307,0.71875,0.625,0.625,0.5625,"[0.625, 0.8125]",0.125,0.75,0.09375,8,22,176,1408,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,22,22,8,shared_hidden_total_hprime,613,0.75,0.625,0.625,0.5625,"[0.875, 0.625]",0.0625,1.0625,0.1328125,8,22,176,1408,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,26,26,16,shared_hidden_total_hprime,307,0.78125,0.6875,0.6875,0.5625,"[0.6875, 0.875]",0.1875,1.9375,0.12109375,16,26,416,3328,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,26,26,16,shared_hidden_total_hprime,613,0.75,0.6875,0.6875,0.5,"[0.6875, 0.8125]",0.0,1.375,0.0859375,16,26,416,3328,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,26,26,24,shared_hidden_total_hprime,307,0.96875,0.9375,0.9375,0.9375,"[0.9375, 1.0]",0.4375,2.1875,0.0911458358168602,24,26,624,4992,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,26,26,24,shared_hidden_total_hprime,613,0.9375,0.875,0.875,0.875,"[0.875, 1.0]",0.5,2.5,0.1041666641831398,24,26,624,4992,192.0,192,8,48,650,624,842,0,1034
shared_spatial_d0,26,26,4,shared_hidden_total_hprime,307,0.625,0.5625,0.5625,0.375,"[0.5625, 0.6875]",0.0,0.25,0.0625,4,26,104,832,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,26,26,4,shared_hidden_total_hprime,613,0.65625,0.625,0.625,0.4375,"[0.6875, 0.625]",0.0625,0.3125,0.078125,4,26,104,832,32.0,32,8,8,114,96,146,0,178
shared_spatial_d0,26,26,8,shared_hidden_total_hprime,307,0.71875,0.625,0.625,0.5625,"[0.625, 0.8125]",0.125,0.6875,0.0859375,8,26,208,1664,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,26,26,8,shared_hidden_total_hprime,613,0.75,0.625,0.625,0.5625,"[0.875, 0.625]",0.0625,1.0625,0.1328125,8,26,208,1664,64.0,64,8,16,178,160,242,0,306
shared_spatial_d0,30,30,16,shared_hidden_total_hprime,307,0.8125,0.6875,0.6875,0.625,"[0.6875, 0.9375]",0.1875,1.8125,0.11328125,16,30,480,3840,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,30,30,16,shared_hidden_total_hprime,613,0.71875,0.6875,0.6875,0.5625,"[0.6875, 0.75]",-0.0625,1.4375,0.08984375,16,30,480,3840,128.0,128,8,32,306,288,434,0,562
shared_spatial_d0,30,30,24,shared_hidden_total_hprime,307,0.9375,0.9375,0.9375,0.875,"[0.9375, 0.9375]",0.4375,2.125,0.0885416716337204,24,30,720,5760,192.0,192,8,48,650,624,842,0,1034
