T,surface_hidden_width,seed,oracle_minus_temporal_d0_worst_balanced,oracle_minus_temporal_d0_exact,wad_minus_temporal_d0_worst_balanced
18,4,307,0.0,0.1875,0.0
18,4,613,0.1875,0.1875,0.0
18,8,307,0.25,0.25,0.0
18,8,613,0.0625,0.125,0.0
18,16,307,0.375,0.3125,0.0
18,16,613,0.25,0.1875,0.0
18,24,307,0.5,0.5,0.0
18,24,613,0.5,0.5,0.0
22,4,307,0.0,0.1875,0.0
22,4,613,0.1875,0.1875,0.0
22,8,307,0.25,0.1875,0.0
22,8,613,0.0625,0.1875,0.0
22,16,307,0.375,0.3125,0.0
22,16,613,0.25,0.1875,0.0
22,24,307,0.5,0.5,0.0
22,24,613,0.5,0.5,0.0
26,4,307,0.0,0.1875,0.0
26,4,613,0.1875,0.1875,0.0
26,8,307,0.25,0.125,0.0
26,8,613,0.0,0.0625,0.0
26,16,307,0.375,0.3125,0.0
26,16,613,0.25,0.0625,0.0
26,24,307,0.5,0.5,0.0
26,24,613,0.5,0.5,0.0
30,4,307,0.0,0.1875,0.0
30,4,613,0.25,0.1875,0.0
30,8,307,0.25,0.125,0.0
30,8,613,0.0,0.0625,0.0
30,16,307,0.4375,0.4375,0.0
30,16,613,0.1875,0.125,0.0
30,24,307,0.5,0.5,0.0
30,24,613,0.5,0.5625,0.0
