condition,T,surface_hidden_width,n_seeds,worst_balanced_mean,worst_balanced_min_seed,exact_trial_mean,pooled_mean,hidden_neurons_total,neuron_updates_per_trial,dense_synapse_macs_per_trial,mean_synaptic_events_total
spatial_independent_d0,18,4,2,0.75,0.75,0.65625,0.8125,8.0,144.0,576.0,32.0
spatial_independent_d0,18,8,2,0.75,0.75,0.65625,0.8125,16.0,288.0,1152.0,64.0
spatial_independent_d0,18,16,2,0.875,0.75,0.875,0.9375,32.0,576.0,2304.0,128.0
spatial_independent_d0,18,24,2,1.0,1.0,1.0,1.0,48.0,864.0,3456.0,192.0
spatial_independent_d0,22,4,2,0.75,0.75,0.65625,0.8125,8.0,176.0,704.0,32.0
spatial_independent_d0,22,8,2,0.75,0.75,0.65625,0.8125,16.0,352.0,1408.0,64.0
spatial_independent_d0,22,16,2,0.75,0.75,0.75,0.875,32.0,704.0,2816.0,128.0
spatial_independent_d0,22,24,2,1.0,1.0,1.0,1.0,48.0,1056.0,4224.0,192.0
spatial_independent_d0,26,4,2,0.75,0.75,0.65625,0.8125,8.0,208.0,832.0,32.0
spatial_independent_d0,26,8,2,0.75,0.75,0.65625,0.8125,16.0,416.0,1664.0,64.0
spatial_independent_d0,26,16,2,0.75,0.75,0.75,0.875,32.0,832.0,3328.0,128.0
spatial_independent_d0,26,24,2,1.0,1.0,1.0,1.0,48.0,1248.0,4992.0,192.0
spatial_independent_d0,30,4,2,0.75,0.75,0.65625,0.8125,8.0,240.0,960.0,32.0
spatial_independent_d0,30,8,2,0.75,0.75,0.65625,0.8125,16.0,480.0,1920.0,64.0
spatial_independent_d0,30,16,2,0.75,0.75,0.75,0.875,32.0,960.0,3840.0,128.0
spatial_independent_d0,30,24,2,1.0,1.0,1.0,1.0,48.0,1440.0,5760.0,192.0
shared_spatial_d0,18,4,2,0.59375,0.5625,0.4375,0.65625,4.0,72.0,576.0,32.0
shared_spatial_d0,18,8,2,0.65625,0.625,0.59375,0.75,8.0,144.0,1152.0,64.0
shared_spatial_d0,18,16,2,0.75,0.6875,0.65625,0.78125,16.0,288.0,2304.0,128.0
shared_spatial_d0,18,24,2,0.90625,0.8125,0.90625,0.953125,24.0,432.0,3456.0,192.0
shared_spatial_d0,22,4,2,0.59375,0.5625,0.40625,0.640625,4.0,88.0,704.0,32.0
shared_spatial_d0,22,8,2,0.625,0.625,0.5625,0.734375,8.0,176.0,1408.0,64.0
shared_spatial_d0,22,16,2,0.65625,0.625,0.5625,0.75,16.0,352.0,2816.0,128.0
shared_spatial_d0,22,24,2,0.90625,0.875,0.90625,0.953125,24.0,528.0,4224.0,192.0
shared_spatial_d0,26,4,2,0.59375,0.5625,0.40625,0.640625,4.0,104.0,832.0,32.0
shared_spatial_d0,26,8,2,0.625,0.625,0.5625,0.734375,8.0,208.0,1664.0,64.0
shared_spatial_d0,26,16,2,0.6875,0.6875,0.53125,0.765625,16.0,416.0,3328.0,128.0
shared_spatial_d0,26,24,2,0.90625,0.875,0.90625,0.953125,24.0,624.0,4992.0,192.0
shared_spatial_d0,30,4,2,0.59375,0.5625,0.40625,0.640625,4.0,120.0,960.0,32.0
shared_spatial_d0,30,8,2,0.625,0.625,0.5625,0.734375,8.0,240.0,1920.0,64.0
shared_spatial_d0,30,16,2,0.6875,0.6875,0.59375,0.765625,16.0,480.0,3840.0,128.0
shared_spatial_d0,30,24,2,0.90625,0.875,0.875,0.9375,24.0,720.0,5760.0,192.0
shared_temporal_d0,18,4,2,0.5,0.5,0.34375,0.59375,4.0,72.0,576.0,32.0
shared_temporal_d0,18,8,2,0.5,0.5,0.375,0.671875,8.0,144.0,1152.0,64.0
shared_temporal_d0,18,16,2,0.5,0.5,0.4375,0.671875,16.0,288.0,2304.0,128.0
shared_temporal_d0,18,24,2,0.5,0.5,0.5,0.75,24.0,432.0,3456.0,192.0
shared_temporal_d0,22,4,2,0.5,0.5,0.34375,0.59375,4.0,88.0,704.0,32.0
shared_temporal_d0,22,8,2,0.5,0.5,0.375,0.671875,8.0,176.0,1408.0,64.0
shared_temporal_d0,22,16,2,0.5,0.5,0.46875,0.71875,16.0,352.0,2816.0,128.0
shared_temporal_d0,22,24,2,0.5,0.5,0.5,0.75,24.0,528.0,4224.0,192.0
shared_temporal_d0,26,4,2,0.5,0.5,0.34375,0.59375,4.0,104.0,832.0,32.0
shared_temporal_d0,26,8,2,0.5,0.5,0.4375,0.703125,8.0,208.0,1664.0,64.0
shared_temporal_d0,26,16,2,0.5,0.5,0.5,0.71875,16.0,416.0,3328.0,128.0
shared_temporal_d0,26,24,2,0.5,0.5,0.5,0.75,24.0,624.0,4992.0,192.0
shared_temporal_d0,30,4,2,0.5,0.5,0.34375,0.59375,4.0,120.0,960.0,32.0
shared_temporal_d0,30,8,2,0.5,0.5,0.4375,0.703125,8.0,240.0,1920.0,64.0
shared_temporal_d0,30,16,2,0.5,0.5,0.46875,0.71875,16.0,480.0,3840.0,128.0
shared_temporal_d0,30,24,2,0.5,0.5,0.46875,0.734375,24.0,720.0,5760.0,192.0
shared_temporal_oracle,18,4,2,0.59375,0.5,0.53125,0.734375,4.0,72.0,576.0,32.0
shared_temporal_oracle,18,8,2,0.65625,0.5625,0.5625,0.78125,8.0,144.0,1152.0,64.0
shared_temporal_oracle,18,16,2,0.8125,0.75,0.6875,0.828125,16.0,288.0,2304.0,128.0
shared_temporal_oracle,18,24,2,1.0,1.0,1.0,1.0,24.0,432.0,3456.0,192.0
shared_temporal_oracle,22,4,2,0.59375,0.5,0.53125,0.734375,4.0,88.0,704.0,32.0
shared_temporal_oracle,22,8,2,0.65625,0.5625,0.5625,0.78125,8.0,176.0,1408.0,64.0
shared_temporal_oracle,22,16,2,0.8125,0.75,0.71875,0.84375,16.0,352.0,2816.0,128.0
shared_temporal_oracle,22,24,2,1.0,1.0,1.0,1.0,24.0,528.0,4224.0,192.0
shared_temporal_oracle,26,4,2,0.59375,0.5,0.53125,0.734375,4.0,104.0,832.0,32.0
shared_temporal_oracle,26,8,2,0.625,0.5,0.53125,0.75,8.0,208.0,1664.0,64.0
shared_temporal_oracle,26,16,2,0.8125,0.75,0.6875,0.828125,16.0,416.0,3328.0,128.0
shared_temporal_oracle,26,24,2,1.0,1.0,1.0,1.0,24.0,624.0,4992.0,192.0
shared_temporal_oracle,30,4,2,0.625,0.5,0.53125,0.75,4.0,120.0,960.0,32.0
shared_temporal_oracle,30,8,2,0.625,0.5,0.53125,0.75,8.0,240.0,1920.0,64.0
shared_temporal_oracle,30,16,2,0.8125,0.6875,0.75,0.84375,16.0,480.0,3840.0,128.0
shared_temporal_oracle,30,24,2,1.0,1.0,1.0,1.0,24.0,720.0,5760.0,192.0
shared_temporal_wad,18,4,2,0.5,0.5,0.34375,0.625,4.0,72.0,576.0,32.0
shared_temporal_wad,18,8,2,0.5,0.5,0.40625,0.6875,8.0,144.0,1152.0,64.0
shared_temporal_wad,18,16,2,0.5,0.5,0.46875,0.703125,16.0,288.0,2304.0,128.0
shared_temporal_wad,18,24,2,0.5,0.5,0.46875,0.734375,24.0,432.0,3456.0,192.0
shared_temporal_wad,22,4,2,0.5,0.5,0.34375,0.625,4.0,88.0,704.0,32.0
shared_temporal_wad,22,8,2,0.5,0.5,0.375,0.671875,8.0,176.0,1408.0,64.0
shared_temporal_wad,22,16,2,0.5,0.5,0.4375,0.6875,16.0,352.0,2816.0,128.0
shared_temporal_wad,22,24,2,0.5,0.5,0.46875,0.71875,24.0,528.0,4224.0,192.0
shared_temporal_wad,26,4,2,0.5,0.5,0.34375,0.625,4.0,104.0,832.0,32.0
shared_temporal_wad,26,8,2,0.5,0.5,0.40625,0.6875,8.0,208.0,1664.0,64.0
shared_temporal_wad,26,16,2,0.5,0.5,0.4375,0.671875,16.0,416.0,3328.0,128.0
shared_temporal_wad,26,24,2,0.5,0.5,0.46875,0.71875,24.0,624.0,4992.0,192.0
shared_temporal_wad,30,4,2,0.5,0.5,0.34375,0.625,4.0,120.0,960.0,32.0
shared_temporal_wad,30,8,2,0.5,0.5,0.4375,0.703125,8.0,240.0,1920.0,64.0
shared_temporal_wad,30,16,2,0.5,0.5,0.46875,0.703125,16.0,480.0,3840.0,128.0
shared_temporal_wad,30,24,2,0.5,0.5,0.46875,0.734375,24.0,720.0,5760.0,192.0
