condition,T,surface_hidden_width,seed,output_window_len,delay_mean,delay_std,delay_min,delay_max,q0_delay_mean,q1_delay_mean,q1_minus_q0_delay_mean,q0_delay_over_window,q1_delay_over_window,q0_fraction_before_second_window,q1_fraction_reaching_second_window,window0_hidden_spikes,window1_hidden_spikes,window0_activity_fraction,window1_activity_fraction,worst_query_balanced_accuracy,exact_trial_accuracy,routing_selectivity_gap
shared_temporal_d0,18,16,307,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6875,0.0,0.9375,0.0,0.5,0.5,0.1875
shared_temporal_d0,18,16,613,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.0,0.875,0.0,0.5,0.375,0.125
shared_temporal_d0,18,24,307,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.25,0.0,0.9375,0.0,0.5,0.5,0.25
shared_temporal_d0,18,24,613,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_d0,18,4,307,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.5,0.3125,0.0625
shared_temporal_d0,18,4,613,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.3125,0.0,0.5,0.375,0.125
shared_temporal_d0,18,8,307,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.625,0.0,0.5,0.3125,0.1875
shared_temporal_d0,18,8,613,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,0.0,0.75,0.0,0.5,0.4375,0.1875
shared_temporal_d0,22,16,307,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5625,0.0,0.875,0.0,0.5,0.5,0.25
shared_temporal_d0,22,16,613,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,0.0,0.875,0.0,0.5,0.4375,0.1875
shared_temporal_d0,22,24,307,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.125,0.0,0.9375,0.0,0.5,0.5,0.25
shared_temporal_d0,22,24,613,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5625,0.0,1.0,0.0,0.5,0.5,0.25
shared_temporal_d0,22,4,307,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.5,0.3125,0.0625
