cell,hidden_size,seed,final_category,best_epoch,best_logged_validation_accuracy,input_hidden_weight_l2_drift,hidden_output_weight_l2_drift,all_float_state_l2_drift,best_truth_patterns_correct,final_truth_patterns_correct,best_valid_interface_patterns,final_valid_interface_patterns,valid_interface_pattern_change_final_minus_best,best_min_correct_threshold_margin,final_min_correct_threshold_margin,best_min_wrong_suppression_margin,final_min_wrong_suppression_margin,best_min_wrong_global_suppression_margin,final_min_wrong_global_suppression_margin
h4_seed107,4,107,silent,13,0.740234375,2.105675458908081,1.0509756803512573,2.353384494781494,3,3,1,1,0,-0.03,-0.03,0.03,0.03,0.03,0.03
h4_seed211,4,211,silent,68,1.0,0.6634657979011536,0.7496700882911682,1.0010954141616821,4,4,3,3,0,-0.03,-0.03,0.004886471405625342,0.03,0.004886471405625342,0.03
h4_seed509,4,509,silent,31,0.751953125,1.6701209545135498,0.8233489990234375,1.862043857574463,3,3,1,2,1,-0.03,-0.03,0.03,0.03,0.03,0.03
h8_seed107,8,107,silent,59,1.0,0.838887631893158,0.7967161536216736,1.156930923461914,4,3,3,3,0,-0.03,-5.18485903738819e-07,0.02827891564927995,0.0926973882317543,0.02827891564927995,0.03
h8_seed211,8,211,silent,25,0.751953125,2.2372093200683594,1.7418766021728516,2.835355281829834,3,3,1,3,2,-0.03,-0.03,0.03,0.03,0.03,0.02322597589343786
h8_seed509,8,509,successful,60,1.0,0.9697220921516418,1.382140040397644,1.6883933544158936,4,4,4,4,0,0.00865557536482811,0.001937595456838609,0.04330276113003492,0.08482761934399605,0.03,0.03
h12_seed107,12,107,successful,23,1.0,2.9845030307769775,1.5906579494476318,3.381930112838745,4,4,3,4,1,-0.03,0.011565194725990297,0.02391744378954172,0.08834821984171867,0.02391744378954172,0.03
h12_seed211,12,211,collision,30,1.0,2.780848503112793,1.4205259084701538,3.1226613521575928,4,3,2,2,0,-0.03,0.012275190353393556,0.0005055616796016682,0.03,-0.04794564962387085,-0.09855090200901032
h12_seed509,12,509,successful,100,1.0,0.0,0.0,0.0,4,4,4,4,0,0.0002512105554342281,0.0002512105554342281,0.09435606628656387,0.09435606628656387,0.03,0.03
h16_seed107,16,107,silent,7,1.0,3.6285362243652344,2.610628128051758,4.4700846672058105,4,3,2,3,1,-0.037399726193398236,-0.05479689195752144,0.009371478781104087,0.0666462729871273,0.009371478781104087,0.03
h16_seed211,16,211,silent,24,1.0,2.596754789352417,1.9987980127334595,3.2769389152526855,4,3,3,3,0,-0.06600413724780083,-0.08967813730239868,0.033233489114791154,0.09902239471673965,0.026083368081599473,0.02990655801957473
h16_seed509,16,509,successful,48,1.0,1.7174491882324219,1.5751715898513794,2.33040714263916,4,4,4,4,0,0.0029961106181144725,0.0021214161813259136,0.07004767909646034,0.10273561507463455,0.03,0.03
h24_seed107,24,107,successful,15,1.0,4.422199726104736,2.9718501567840576,5.328015327453613,4,4,4,4,0,0.002417893409729005,0.008401089608669282,0.0031841906905174244,0.19111361980438232,0.0031841906905174244,0.028774890089407562
h24_seed211,24,211,collision,26,0.765625,4.496613025665283,2.2604916095733643,5.032827377319336,3,3,1,3,2,-0.03,0.0014478129148483287,0.03,0.03,-0.04725193351507187,-0.0746503409743309
h24_seed509,24,509,successful,26,1.0,3.3374228477478027,2.5428409576416016,4.19576358795166,4,4,3,4,1,-0.0003314453363418568,0.06380945563316345,0.030837191939353942,0.2880821216106415,0.03,0.03
