cell,hidden_size,seed,final_category,checkpoint,A,B,pattern,target_class,logit,prediction,classification_correct,output_class0_spikes,output_class1_spikes,total_output_spikes,interface_status,valid_one_target_spike,target_time,target_time_correct_spike,target_time_wrong_spike,correct_spike_times,wrong_spike_times,target_time_correct_voltage,target_time_wrong_voltage,correct_threshold_margin,wrong_suppression_margin,class_voltage_separation,correct_peak_time,wrong_peak_time,correct_peak_voltage,wrong_peak_voltage,correct_peak_threshold_margin,wrong_global_suppression_margin,target_time_correct_current,target_time_wrong_current,hidden_spikes_total,active_hidden_neurons,causal_hidden_spikes_at_t_minus_1
h4_seed107,4,107,silent,best,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed107,4,107,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.07413507997989655,-0.10419856756925583,0.044135079979896547,0.13419856756925583,0.17833364754915237,11,0,0.07413507997989655,0.0,0.044135079979896547,0.03,0.7790361046791077,-1.0949532985687256,1.0,1,1.0
h4_seed107,4,107,silent,best,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed107,4,107,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed107,4,107,silent,last,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed107,4,107,silent,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.1299038678407669,-0.17256273329257965,0.09990386784076691,0.20256273329257965,0.30246660113334656,11,0,0.1299038678407669,0.0,0.09990386784076691,0.03,1.3650730848312378,-1.8133466243743896,1.0,1,1.0
h4_seed107,4,107,silent,last,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed107,4,107,silent,last,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed211,4,211,silent,best,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.06070084497332573,-0.1597173660993576,0.03070084497332573,0.1897173660993576,0.22041821107268333,11,0,0.06070084497332573,0.0,0.03070084497332573,0.03,0.6378647089004517,-1.67836332321167,1.0,1,1.0
h4_seed211,4,211,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.0334998294711113,-0.04460081458091736,0.0034998294711112987,0.07460081458091736,0.07810064405202866,11,0,0.0334998294711113,0.0,0.0034998294711112987,0.03,0.35202735662460327,-0.468680202960968,1.0,1,1.0
h4_seed211,4,211,silent,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.05872311443090439,0.025113528594374657,0.02872311443090439,0.004886471405625342,0.03360958583652973,11,11,0.05872311443090439,0.025113528594374657,0.02872311443090439,0.004886471405625342,0.6170820593833923,0.26390132308006287,1.0,1,1.0
h4_seed211,4,211,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed211,4,211,silent,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.0902106836438179,-0.1904422640800476,0.0602106836438179,0.2204422640800476,0.2806529477238655,11,0,0.0902106836438179,0.0,0.0602106836438179,0.03,0.9479639530181885,-2.0012307167053223,1.0,1,1.0
h4_seed211,4,211,silent,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03775410354137421,-0.062075838446617126,0.007754103541374208,0.09207583844661713,0.09982994198799133,11,0,0.03775410354137421,0.0,0.007754103541374208,0.03,0.3967326879501343,-0.6523135900497437,1.0,1,1.0
h4_seed211,4,211,silent,last,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.09704166650772095,-0.01339406706392765,0.06704166650772095,0.04339406706392765,0.1104357335716486,11,0,0.09704166650772095,0.0,0.06704166650772095,0.03,1.01974618434906,-0.14074932038784027,1.0,1,1.0
h4_seed211,4,211,silent,last,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,best,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03170938044786453,-0.10703592747449875,0.0017093804478645336,0.13703592747449875,0.13874530792236328,11,0,0.03170938044786453,0.0,0.0017093804478645336,0.03,0.3332127332687378,-1.1247692108154297,2.0,2,2.0
h4_seed509,4,509,silent,best,0,1,01,1,0.0,0,False,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,best,1,1,11,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
h4_seed509,4,509,silent,last,0,0,00,0,0.0,0,True,0.0,0.0,0.0,silent,False,11,0.0,0.0,,,0.0,0.0,-0.03,0.03,0.0,0,0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0,0.0
