cell,hidden_size,seed,final_category,checkpoint,truth_patterns_correct,valid_interface_patterns,silent_patterns,collision_patterns,wrong_class_patterns,extra_correct_spike_patterns,min_correct_threshold_margin,min_wrong_suppression_margin,min_wrong_global_suppression_margin,min_class_voltage_separation,mean_hidden_spikes,input_hidden_delay_min,input_hidden_delay_max,hidden_output_delay_min,hidden_output_delay_max
h4_seed107,4,107,silent,best,3,1,3,0,0,0,-0.03,0.03,0.03,0.0,0.25,0.0,0.0,0.0,0.0
h4_seed107,4,107,silent,last,3,1,3,0,0,0,-0.03,0.03,0.03,0.0,0.25,0.0,0.0,0.0,0.0
h4_seed211,4,211,silent,best,4,3,1,0,0,0,-0.03,0.004886471405625342,0.004886471405625342,0.0,0.75,0.0,0.0,0.0,0.0
h4_seed211,4,211,silent,last,4,3,1,0,0,0,-0.03,0.03,0.03,0.0,0.75,0.0,0.0,0.0,0.0
h4_seed509,4,509,silent,best,3,1,3,0,0,0,-0.03,0.03,0.03,0.0,0.5,0.0,0.0,0.0,0.0
h4_seed509,4,509,silent,last,3,2,2,0,0,0,-0.03,0.03,0.03,0.0,0.5,0.0,0.0,0.0,0.0
h8_seed107,8,107,silent,best,4,3,1,0,0,0,-0.03,0.02827891564927995,0.02827891564927995,0.0,1.0,0.0,0.0,0.0,0.0
h8_seed107,8,107,silent,last,3,3,1,0,0,0,-5.18485903738819e-07,0.0926973882317543,0.03,0.09269686974585056,1.5,0.0,0.0,0.0,0.0
h8_seed211,8,211,silent,best,3,1,3,0,0,0,-0.03,0.03,0.03,0.0,1.0,0.0,0.0,0.0,0.0
h8_seed211,8,211,silent,last,3,3,1,0,0,0,-0.03,0.03,0.02322597589343786,0.0,2.0,0.0,0.0,0.0,0.0
h8_seed509,8,509,successful,best,4,4,0,0,0,0,0.00865557536482811,0.04330276113003492,0.03,0.07273558061569929,1.75,0.0,0.0,0.0,0.0
h8_seed509,8,509,successful,last,4,4,0,0,0,0,0.001937595456838609,0.08482761934399605,0.03,0.1549561284482479,2.0,0.0,0.0,0.0,0.0
h12_seed107,12,107,successful,best,4,3,1,0,0,0,-0.03,0.02391744378954172,0.02391744378954172,0.0,1.0,0.0,0.0,0.0,0.0
h12_seed107,12,107,successful,last,4,4,0,0,0,0,0.011565194725990297,0.08834821984171867,0.03,0.11440210044384003,1.25,0.0,0.0,0.0,0.0
h12_seed211,12,211,collision,best,4,2,1,1,0,0,-0.03,0.0005055616796016682,-0.04794564962387085,0.0,2.5,0.0,0.0,0.0,0.0
h12_seed211,12,211,collision,last,3,2,0,2,0,0,0.012275190353393556,0.03,-0.09855090200901032,0.05765027552843094,3.25,0.0,0.0,0.0,0.0
h12_seed509,12,509,successful,best,4,4,0,0,0,0,0.0002512105554342281,0.09435606628656387,0.03,0.13679329678416252,1.0,0.0,0.0,0.0,0.0
h12_seed509,12,509,successful,last,4,4,0,0,0,0,0.0002512105554342281,0.09435606628656387,0.03,0.13679329678416252,1.0,0.0,0.0,0.0,0.0
h16_seed107,16,107,silent,best,4,2,2,0,0,0,-0.037399726193398236,0.009371478781104087,0.009371478781104087,-0.02802824741229415,1.25,0.0,0.0,0.0,0.0
h16_seed107,16,107,silent,last,3,3,1,0,0,0,-0.05479689195752144,0.0666462729871273,0.03,0.011849381029605865,2.75,0.0,0.0,0.0,0.0
h16_seed211,16,211,silent,best,4,3,1,0,0,0,-0.06600413724780083,0.033233489114791154,0.026083368081599473,-0.03277064813300967,3.0,0.0,0.0,0.0,0.0
h16_seed211,16,211,silent,last,3,3,1,0,0,0,-0.08967813730239868,0.09902239471673965,0.02990655801957473,0.009344257414340973,3.0,0.0,0.0,0.0,0.0
h16_seed509,16,509,successful,best,4,4,0,0,0,0,0.0029961106181144725,0.07004767909646034,0.03,0.10140543058514595,1.25,0.0,0.0,0.0,0.0
h16_seed509,16,509,successful,last,4,4,0,0,0,0,0.0021214161813259136,0.10273561507463455,0.03,0.10485703125596046,1.5,0.0,0.0,0.0,0.0
h24_seed107,24,107,successful,best,4,4,0,0,0,0,0.002417893409729005,0.0031841906905174244,0.0031841906905174244,0.027732428163290024,3.0,0.0,0.0,0.0,0.0
h24_seed107,24,107,successful,last,4,4,0,0,0,0,0.008401089608669282,0.19111361980438232,0.028774890089407562,0.1995147094130516,3.75,0.0,0.0,0.0,0.0
h24_seed211,24,211,collision,best,3,1,0,3,0,0,-0.03,0.03,-0.04725193351507187,0.0,5.0,0.0,0.0,0.0,0.0
h24_seed211,24,211,collision,last,3,3,0,1,0,0,0.0014478129148483287,0.03,-0.0746503409743309,0.1787084937095642,6.25,0.0,0.0,0.0,0.0
h24_seed509,24,509,successful,best,4,3,1,0,0,0,-0.0003314453363418568,0.030837191939353942,0.03,0.03626387566328049,3.5,0.0,0.0,0.0,0.0
h24_seed509,24,509,successful,last,4,4,0,0,0,0,0.06380945563316345,0.2880821216106415,0.03,0.37021077424287796,5.25,0.0,0.0,0.0,0.0
