output_threshold,cell,hidden_size,seed,truth_patterns_correct,valid_interface_patterns,silent_patterns,collision_patterns,full_truth_and_interface
0.015,h4_seed107,4,107,3,1,3,0,False
0.015,h4_seed211,4,211,4,3,1,0,False
0.015,h4_seed509,4,509,3,2,2,0,False
0.015,h8_seed107,8,107,4,4,0,0,True
0.015,h8_seed211,8,211,3,3,1,0,False
0.015,h8_seed509,8,509,4,4,0,0,True
0.015,h12_seed107,12,107,4,4,0,0,True
0.015,h12_seed211,12,211,3,2,0,2,False
0.015,h12_seed509,12,509,4,4,0,0,True
0.015,h16_seed107,16,107,3,3,1,0,False
0.015,h16_seed211,16,211,3,3,1,0,False
0.015,h16_seed509,16,509,4,4,0,0,True
0.015,h24_seed107,24,107,4,4,0,0,True
0.015,h24_seed211,24,211,3,3,0,1,False
0.015,h24_seed509,24,509,4,4,0,0,True
0.0225,h4_seed107,4,107,3,1,3,0,False
0.0225,h4_seed211,4,211,4,3,1,0,False
0.0225,h4_seed509,4,509,3,2,2,0,False
0.0225,h8_seed107,8,107,4,4,0,0,True
0.0225,h8_seed211,8,211,3,3,1,0,False
0.0225,h8_seed509,8,509,4,4,0,0,True
0.0225,h12_seed107,12,107,4,4,0,0,True
0.0225,h12_seed211,12,211,3,2,0,2,False
0.0225,h12_seed509,12,509,4,4,0,0,True
0.0225,h16_seed107,16,107,3,3,1,0,False
0.0225,h16_seed211,16,211,3,3,1,0,False
0.0225,h16_seed509,16,509,4,4,0,0,True
0.0225,h24_seed107,24,107,4,4,0,0,True
0.0225,h24_seed211,24,211,3,3,0,1,False
0.0225,h24_seed509,24,509,4,4,0,0,True
0.03,h4_seed107,4,107,3,1,3,0,False
0.03,h4_seed211,4,211,4,3,1,0,False
0.03,h4_seed509,4,509,3,2,2,0,False
0.03,h8_seed107,8,107,3,3,1,0,False
0.03,h8_seed211,8,211,3,3,1,0,False
0.03,h8_seed509,8,509,4,4,0,0,True
0.03,h12_seed107,12,107,4,4,0,0,True
0.03,h12_seed211,12,211,3,2,0,2,False
0.03,h12_seed509,12,509,4,4,0,0,True
0.03,h16_seed107,16,107,3,3,1,0,False
0.03,h16_seed211,16,211,3,3,1,0,False
0.03,h16_seed509,16,509,4,4,0,0,True
0.03,h24_seed107,24,107,4,4,0,0,True
0.03,h24_seed211,24,211,3,3,0,1,False
0.03,h24_seed509,24,509,4,4,0,0,True
0.0375,h4_seed107,4,107,3,1,3,0,False
0.0375,h4_seed211,4,211,4,3,1,0,False
0.0375,h4_seed509,4,509,2,0,4,0,False
0.0375,h8_seed107,8,107,3,3,1,0,False
0.0375,h8_seed211,8,211,3,3,1,0,False
0.0375,h8_seed509,8,509,3,3,1,0,False
0.0375,h12_seed107,12,107,4,4,0,0,True
0.0375,h12_seed211,12,211,3,2,0,2,False
0.0375,h12_seed509,12,509,2,2,2,0,False
0.0375,h16_seed107,16,107,3,3,1,0,False
0.0375,h16_seed211,16,211,3,3,1,0,False
0.0375,h16_seed509,16,509,3,3,1,0,False
0.0375,h24_seed107,24,107,4,4,0,0,True
0.0375,h24_seed211,24,211,2,2,1,1,False
0.0375,h24_seed509,24,509,4,4,0,0,True
0.045,h4_seed107,4,107,3,1,3,0,False
0.045,h4_seed211,4,211,3,2,2,0,False
0.045,h4_seed509,4,509,2,0,4,0,False
0.045,h8_seed107,8,107,2,2,2,0,False
0.045,h8_seed211,8,211,3,3,1,0,False
0.045,h8_seed509,8,509,3,3,1,0,False
0.045,h12_seed107,12,107,4,3,1,0,False
0.045,h12_seed211,12,211,4,2,1,1,False
0.045,h12_seed509,12,509,2,2,2,0,False
0.045,h16_seed107,16,107,3,3,1,0,False
0.045,h16_seed211,16,211,3,3,1,0,False
0.045,h16_seed509,16,509,3,2,2,0,False
0.045,h24_seed107,24,107,4,3,1,0,False
0.045,h24_seed211,24,211,2,2,1,1,False
0.045,h24_seed509,24,509,4,4,0,0,True
0.06,h4_seed107,4,107,3,1,3,0,False
0.06,h4_seed211,4,211,3,2,2,0,False
0.06,h4_seed509,4,509,2,0,4,0,False
0.06,h8_seed107,8,107,2,2,2,0,False
0.06,h8_seed211,8,211,3,3,1,0,False
0.06,h8_seed509,8,509,3,2,2,0,False
0.06,h12_seed107,12,107,4,3,1,0,False
0.06,h12_seed211,12,211,3,2,1,0,False
0.06,h12_seed509,12,509,2,2,2,0,False
0.06,h16_seed107,16,107,3,3,1,0,False
0.06,h16_seed211,16,211,2,2,2,0,False
0.06,h16_seed509,16,509,3,2,2,0,False
0.06,h24_seed107,24,107,3,2,2,0,False
0.06,h24_seed211,24,211,2,2,1,1,False
0.06,h24_seed509,24,509,4,4,0,0,True
