source,condition,K,hidden_size,n_seeds,pooled_accuracy_mean,worst_query_accuracy_mean,worst_query_accuracy_sd,passes_tau_on_seed_mean
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,10,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,15,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,20,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,10,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,15,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,20,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,10,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,15,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,20,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,10,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,15,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,20,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,5,10,2,0.7498000264167786,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,5,15,2,0.7498000264167786,0.7380000054836273,0.008485298570152762,False
