condition,seed,delay_mean,delay_sd,delay_min,delay_max
fixed_heterogeneous,0,14.6714325,8.478437,0.6697726,29.911997
fixed_heterogeneous,1,15.40963,8.23556,0.33673704,29.940742
fixed_heterogeneous,2,15.680573,7.6369214,0.30783892,29.425772
fixed_heterogeneous,3,12.906423,8.855053,0.1279056,28.869085
fixed_heterogeneous,42,15.969988,8.404396,0.15137315,28.77917
scalar,0,2.997845,2.3841858e-07,2.9978447,2.9978447
scalar,1,3.0500317,4.7683716e-07,3.0500312,3.0500312
scalar,2,2.9988542,2.3841858e-07,2.998854,2.998854
scalar,3,2.998657,2.3841858e-07,2.9986567,2.9986567
scalar,42,2.9995472,2.3841858e-07,2.9995475,2.9995475
w_and_d,0,3.5829458,1.496497,0.9928,8.003236
w_and_d,1,3.5210924,0.9807269,1.6040626,7.505375
w_and_d,2,3.4064069,1.4083284,1.0017279,8.763353
w_and_d,3,3.3803444,1.4138635,1.1355802,9.492266
w_and_d,42,3.5936759,1.4583342,1.4619956,8.270774
