source_run,setting,readout_type,condition,seed,intervention,original_worst,intervention_worst,worst_drop,original_exact,intervention_exact,exact_drop
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,mlp,d0,0,late_window_probe,0.6959999799728394,0.5,0.19599997997283936,0.39399999380111694,0.1340000033378601,0.25999999046325684
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,linear,d0,0,late_window_probe,0.6499999761581421,0.5,0.1499999761581421,0.37400001287460327,0.1340000033378601,0.24000000953674316
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,mlp,d0,1,late_window_probe,0.8040000200271606,0.5019999742507935,0.3020000457763672,0.5979999899864197,0.12200000137090683,0.47599998861551285
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,linear,d0,1,late_window_probe,0.6399999856948853,0.5019999742507935,0.1380000114440918,0.4020000100135803,0.12200000137090683,0.2800000086426735
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,mlp,d0,2,late_window_probe,0.7799999713897705,0.49399998784065247,0.28599998354911804,0.621999979019165,0.14399999380111694,0.4779999852180481
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,linear,d0,2,late_window_probe,0.6940000057220459,0.49399998784065247,0.20000001788139343,0.5120000243186951,0.14399999380111694,0.3680000305175781
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,mlp,d0,3,late_window_probe,0.7940000295639038,0.4959999918937683,0.2980000376701355,0.5680000185966492,0.13600000739097595,0.4320000112056732
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,linear,d0,3,late_window_probe,0.6819999814033508,0.4959999918937683,0.18599998950958252,0.4180000126361847,0.13600000739097595,0.28200000524520874
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,mlp,d0,42,late_window_probe,0.800000011920929,0.5139999985694885,0.28600001335144043,0.6520000100135803,0.12800000607967377,0.5240000039339066
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,linear,d0,42,late_window_probe,0.6980000138282776,0.5139999985694885,0.18400001525878906,0.38199999928474426,0.12800000607967377,0.2539999932050705
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,linear,d0,0,late_window_probe,0.6460000276565552,0.4740000069141388,0.17200002074241638,0.25600001215934753,0.0560000017285347,0.20000001043081284
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,linear,d0,1,late_window_probe,0.6899999976158142,0.4320000112056732,0.257999986410141,0.21400000154972076,0.04600000008940697,0.1680000014603138
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,linear,d0,2,late_window_probe,0.6179999709129333,0.4699999988079071,0.14799997210502625,0.20000000298023224,0.04399999976158142,0.15600000321865082
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,linear,d0,3,late_window_probe,0.628000020980835,0.47600001096725464,0.15200001001358032,0.23399999737739563,0.06800000369548798,0.16599999368190765
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,linear,d0,42,late_window_probe,0.6480000019073486,0.4480000138282776,0.19999998807907104,0.22200000286102295,0.0560000017285347,0.16600000113248825
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,mlp,fixed_heterogeneous,0,late_window_probe,0.8360000252723694,0.49399998784065247,0.3420000374317169,0.6439999938011169,0.1459999978542328,0.49799999594688416
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,linear,fixed_heterogeneous,0,late_window_probe,0.6259999871253967,0.5,0.12599998712539673,0.2840000092983246,0.17800000309944153,0.10600000619888306
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,mlp,fixed_heterogeneous,1,late_window_probe,0.7519999742507935,0.4699999988079071,0.28199997544288635,0.699999988079071,0.1899999976158142,0.5099999904632568
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,linear,fixed_heterogeneous,1,late_window_probe,0.6119999885559082,0.414000004529953,0.1979999840259552,0.29600000381469727,0.12399999797344208,0.1720000058412552
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,mlp,fixed_heterogeneous,2,late_window_probe,0.7059999704360962,0.5360000133514404,0.16999995708465576,0.6579999923706055,0.23000000417232513,0.42799998819828033
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,linear,fixed_heterogeneous,2,late_window_probe,0.5740000009536743,0.515999972820282,0.058000028133392334,0.2939999997615814,0.2240000069141388,0.06999999284744263
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,mlp,fixed_heterogeneous,3,late_window_probe,0.800000011920929,0.6859999895095825,0.11400002241134644,0.7720000147819519,0.45399999618530273,0.31800001859664917
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,linear,fixed_heterogeneous,3,late_window_probe,0.7139999866485596,0.5360000133514404,0.17799997329711914,0.4059999883174896,0.2639999985694885,0.1419999897480011
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,mlp,fixed_heterogeneous,42,late_window_probe,0.9520000219345093,0.6380000114440918,0.3140000104904175,0.9520000219345093,0.3479999899864197,0.6040000319480896
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,linear,fixed_heterogeneous,42,late_window_probe,0.6959999799728394,0.5740000009536743,0.12199997901916504,0.43799999356269836,0.2619999945163727,0.17599999904632568
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed0_thr0.3_obsall_time_rolinear,stress,linear,fixed_heterogeneous,0,late_window_probe,0.6660000085830688,0.5040000081062317,0.16200000047683716,0.23000000417232513,0.12399999797344208,0.10600000619888306
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,linear,fixed_heterogeneous,1,late_window_probe,0.6299999952316284,0.44999998807907104,0.18000000715255737,0.18400000035762787,0.1080000028014183,0.07599999755620956
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,linear,fixed_heterogeneous,2,late_window_probe,0.671999990940094,0.4519999921321869,0.2199999988079071,0.23999999463558197,0.12800000607967377,0.1119999885559082
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,linear,fixed_heterogeneous,3,late_window_probe,0.5619999766349792,0.49000000953674316,0.07199996709823608,0.11999999731779099,0.07999999821186066,0.03999999910593033
runs/exploratory/xor_delay_control_matrix_v1/XOR_fixed_heterogeneous_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,linear,fixed_heterogeneous,42,late_window_probe,0.7099999785423279,0.4659999907016754,0.24399998784065247,0.26600000262260437,0.10199999809265137,0.164000004529953
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,mlp,scalar,0,late_window_probe,0.7960000038146973,0.5,0.29600000381469727,0.6420000195503235,0.1340000033378601,0.5080000162124634
