intervention,setting,readout_type,condition,n,original_worst,intervention_worst,worst_drop_mean,worst_drop_sd,positive_worst_drops,exact_drop_mean
late_window_probe,primary,linear,d0,5,0.6727999925613404,0.5011999905109406,0.17160000205039977,0.026283080835794944,5,0.2848000094294548
late_window_probe,primary,linear,fixed_heterogeneous,5,0.6443999886512757,0.5079999983310699,0.1363999903202057,0.054743018438527316,5,0.13319999873638153
late_window_probe,primary,linear,scalar,5,0.6991999983787537,0.49359999895095824,0.20559999942779542,0.01639511809608775,5,0.28520000725984573
late_window_probe,primary,linear,w_and_d,5,0.6784000039100647,0.47039998769760133,0.2080000162124634,0.06999999433756063,5,0.3108000040054321
late_window_probe,primary,mlp,d0,5,0.7748000025749207,0.5011999905109406,0.2736000120639801,0.0439636425633531,5,0.4339999958872795
late_window_probe,primary,mlp,fixed_heterogeneous,5,0.8092000007629394,0.5648000001907348,0.2444000005722046,0.09788157061108445,5,0.47160000503063204
late_window_probe,primary,mlp,scalar,5,0.7804000020027161,0.5011999905109406,0.27920001149177553,0.04504663249469241,5,0.49960000813007355
late_window_probe,primary,mlp,w_and_d,5,0.769599997997284,0.5051999866962433,0.2644000113010406,0.05726079708591697,5,0.5244000032544136
late_window_probe,stress,linear,d0,5,0.6460000038146972,0.46000000834465027,0.185999995470047,0.04521061426142845,5,0.17120000198483468
late_window_probe,stress,linear,fixed_heterogeneous,5,0.6479999899864197,0.47239999771118163,0.17559999227523804,0.0663083801226557,5,0.09959999918937683
late_window_probe,stress,linear,scalar,5,0.6519999980926514,0.46160000562667847,0.1903999924659729,0.03433364546242554,5,0.17199999913573266
late_window_probe,stress,linear,w_and_d,5,0.6444000005722046,0.4580000102519989,0.18639999032020568,0.03958281856677506,5,0.1743999980390072
shuffle_learned_delays,primary,linear,w_and_d,5,0.6784000039100647,0.5628000020980835,0.1156000018119812,0.0647827169558682,5,0.21000000536441804
shuffle_learned_delays,primary,mlp,w_and_d,5,0.769599997997284,0.6279999911785126,0.14160000681877136,0.09677190447882288,5,0.28520000278949736
shuffle_learned_delays,stress,linear,w_and_d,5,0.6444000005722046,0.5467999935150146,0.09760000705718994,0.03144517433582894,5,0.09519999921321869
