K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,operation,protocol_id,seed,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,0.5,0.0,task_only,0.5,final_only,0.0,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,0.9078793525695801,3.09212064743042,3.09212064743042,3.09212064743042,,500,global,3,16,1,0.953623354434967,-2.0,1.0,0.0,1.0,0.003556591924279928,2,False,True,False,0.5,XOR,xor_delay_granularity_level1b_v1,607,0.5,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,0.9858517646789551,3.014148235321045,3.014148235321045,3.014148235321045,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.0028622590471059084,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.75,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,1.9616284370422363,2.0383715629577637,2.0383715629577637,2.0383715629577637,,500,global,4,16,1,0.953623354434967,-2.0,1.0,0.0,1.0,0.004826247226446867,2,False,True,False,1.75,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,0.0,0.01,global,single_event,False,0,True,0.0,2.7311935424804688,1.2688064575195312,1.2688064575195312,1.2688064575195312,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.0020346054807305336,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.25,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,1.998671054840088,2.001328945159912,2.001328945159912,2.001328945159912,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.0024812796618789434,2,False,True,False,1.25,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.0,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,2.080366611480713,6.080366611480713,6.080366611480713,6.080366611480713,,500,global,4,16,1,7.0463762283325195,2.0,1.0,0.0,1.0,0.0011141379363834858,2,False,True,False,0.0,XOR,xor_delay_granularity_level1b_v1,607,1.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.5,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,1.9942102432250977,5.994210243225098,5.994210243225098,5.994210243225098,,500,global,4,16,1,7.0463762283325195,2.0,1.0,0.0,1.0,0.00040264392737299204,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.5,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.08662915229797363,3.9133708477020264,3.9133708477020264,3.9133708477020264,,500,global,4,16,1,7.0463762283325195,2.0,0.0,1.0,1.0,0.0013089763233438134,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.03833723068237305,3.961662769317627,3.961662769317627,3.961662769317627,,500,global,4,16,1,7.0463762283325195,2.0,1.0,0.0,1.0,0.0016523023368790746,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.0,True,learned_delay,0.0,0.01,global,single_event,False,0,False,0.0,2.0326895713806152,6.032689571380615,6.032689571380615,6.032689571380615,,500,global,4,16,1,7.0463762283325195,2.0,1.0,0.0,1.0,0.0008266144432127476,2,False,True,False,0.5,XOR,xor_delay_granularity_level1b_v1,1021,0.5,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.0018644332885742188,3.998135566711426,3.998135566711426,3.998135566711426,,500,global,4,16,1,0.953623354434967,-2.0,1.0,1.0,1.0,0.022031398490071297,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.0016062259674072266,3.9983937740325928,3.9983937740325928,3.9983937740325928,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.02845025062561035,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.0012807846069335938,3.9987192153930664,3.9987192153930664,3.9987192153930664,,500,global,4,16,1,0.953623354434967,-2.0,1.0,1.0,1.0,0.020761743187904358,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.00036907196044921875,3.999630928039551,3.999630928039551,3.999630928039551,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.02762259542942047,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.00016307830810546875,3.9998369216918945,3.9998369216918945,3.9998369216918945,,500,global,4,16,1,0.953623354434967,-2.0,0.0,1.0,1.0,0.0280692707747221,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.000789642333984375,4.000789642333984,4.000789642333984,4.000789642333984,,500,global,4,16,1,7.0463762283325195,2.0,1.0,1.0,1.0,0.02447386272251606,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.0010600090026855469,4.0010600090026855,4.0010600090026855,4.0010600090026855,,500,global,4,16,1,7.0463762283325195,2.0,1.0,1.0,1.0,0.0251853559166193,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,5.7697296142578125e-05,3.9999423027038574,3.9999423027038574,3.9999423027038574,,500,global,4,16,1,7.0463762283325195,2.0,0.0,1.0,1.0,0.026896975934505463,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.0002655982971191406,4.000265598297119,4.000265598297119,4.000265598297119,,500,global,4,16,1,7.0463762283325195,2.0,1.0,1.0,1.0,0.023935697972774506,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,global,single_event,True,4,True,1.0,0.00019216537475585938,4.000192165374756,4.000192165374756,4.000192165374756,,500,global,4,16,1,7.0463762283325195,2.0,1.0,1.0,1.0,0.024761386215686798,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.5,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,False,0.0,3.345829963684082,2.526826858520508,1.9767898321151733,0.6541699171066284,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.625,0.375,1.0,0.004267634358257055,2,False,True,False,1.5,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.5,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,True,0.0,3.7153851985931396,2.720290184020996,1.8819055557250977,0.2846148908138275,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.5625,0.4375,1.0,0.006156717427074909,2,False,True,False,1.5,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,True,0.0,3.4979655742645264,2.9424026012420654,1.7287328243255615,0.5020344853401184,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.4375,0.5625,1.0,0.005294067785143852,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.75,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,False,0.0,3.8880627155303955,2.7710933685302734,1.5835661888122559,0.11193739622831345,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.25,0.75,1.0,0.005534435156732798,2,False,True,False,1.75,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,False,0.0,3.208817958831787,2.996533155441284,1.538037657737732,0.7911819815635681,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.3125,0.6875,1.0,0.004408784210681915,2,False,True,False,0.75,XOR,xor_delay_granularity_level1b_v1,1021,0.25,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.0,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,False,0.0,3.5837931632995605,7.5837931632995605,6.090841293334961,5.042396068572998,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5625,0.4375,1.0,0.0012162456987425685,2,False,True,False,0.0,XOR,xor_delay_granularity_level1b_v1,607,1.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,0.0,0.01,post_neuron,single_event,False,0,True,0.0,3.2968297004699707,7.296829700469971,5.1558427810668945,0.9278756380081177,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.4375,0.5625,1.0,0.0011186898918822408,2,False,True,False,0.75,XOR,xor_delay_granularity_level1b_v1,709,0.25,stage_a,4.0,15,False,0.01
1,0.5,0.0,task_only,0.5,final_only,0.0,True,learned_delay,0.5,0.01,post_neuron,single_event,False,2,False,0.0625,3.2983765602111816,7.298376560211182,6.355915069580078,4.03253698348999,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.4375,0.5625,1.0,0.0019069489790126681,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.0,task_only,1.0,final_only,0.0,True,learned_delay,0.25,0.01,post_neuron,single_event,False,1,True,0.0625,3.416253089904785,7.416253089904785,5.0956525802612305,3.028165102005005,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.75,0.25,1.0,0.001128023024648428,2,False,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
