K,hidden_size,condition,n,worst_mean,worst_sd,exact_mean,exact_sd,balanced_mean,hidden_spikes_mean,trainable_parameters,storage_elements,neuron_updates,dense_macs,decoder_macs,synaptic_events,in_target_band,within_hard_bounds,sd_ok,condition_qualifies,setting_qualifies
2,20,d0,3,0.7666666706403097,0.07250748793639808,0.6740000049273173,0.09624966106602936,0.8182540933291117,3.8059999545415244,82,122,600,1200,40,120.10666529337566,True,True,True,True,True
2,20,w_and_d,3,0.8446666797002157,0.06871196917030103,0.7693333427111307,0.08755187141775761,0.8850302199522654,4.0946667194366455,122,122,600,1200,40,120.10666529337566,True,True,True,True,True
2,35,d0,3,0.7953333457310995,0.025166122363274476,0.734000007311503,0.01000002026559404,0.8631771405537924,7.333333492279053,142,212,1050,2100,70,210.18666426340738,True,True,True,True,True
2,35,w_and_d,3,0.8726666768391927,0.02655811458513927,0.7919999957084656,0.04275509595335883,0.8935006658236185,6.278666655222575,212,212,1050,2100,70,210.18666426340738,True,True,True,True,True
2,50,d0,3,0.8653333385785421,0.09563123655904891,0.846666673819224,0.09737213350581368,0.923161119222641,7.573333342870076,202,302,1500,3000,100,300.26666323343915,True,True,True,True,True
2,50,w_and_d,3,0.87800000111262,0.04399999976158477,0.8240000009536743,0.04582577177731159,0.9108826915423075,6.331333478291829,302,302,1500,3000,100,300.26666323343915,True,True,True,True,True
3,20,d0,3,0.6266666650772095,0.02193930941054489,0.3646666705608368,0.09252747882070834,0.7227682405047947,5.499333381652832,103,143,800,1600,60,179.80000178019205,False,True,True,False,False
3,20,w_and_d,3,0.6639999945958456,0.057999998331072486,0.37133334080378216,0.07739078528951615,0.7258115741941663,5.034666697184245,143,143,800,1600,60,179.80000178019205,True,True,True,True,False
3,35,d0,3,0.6626666585604349,0.03100539385621466,0.38600000739097595,0.01442220539942213,0.7467650373776754,10.681333541870117,178,248,1400,2800,105,314.6500031153361,True,True,True,True,True
3,35,w_and_d,3,0.6759999990463257,0.048538664173489884,0.43066667517026264,0.018037005823125594,0.7630297276708816,9.893999735514322,248,248,1400,2800,105,314.6500031153361,True,True,True,True,True
3,50,d0,3,0.6919999917348226,0.020297762598107085,0.4640000065167745,0.009165153705123774,0.7766669657495288,10.146000067392984,253,353,2000,4000,150,449.50000445048016,True,True,True,True,True
3,50,w_and_d,3,0.6613333423932394,0.02532454922706013,0.4353333314259847,0.032393411921604984,0.7663216988245646,9.75600004196167,353,353,2000,4000,150,449.50000445048016,True,True,True,True,True
4,20,d0,3,0.6026666561762491,0.031262319262651765,0.16799999773502347,0.0314324660432536,0.6707520087560018,6.966666618982951,124,164,1000,2000,80,240.34666697184244,False,True,True,False,False
4,20,w_and_d,3,0.5993333458900452,0.056047588331442987,0.1720000008742014,0.03304541675064782,0.6623979161183039,6.591333309809367,164,164,1000,2000,80,240.34666697184244,False,True,True,False,False
4,35,d0,3,0.5860000054041544,0.01969771013264351,0.17066666980584458,0.033842774060972726,0.6761831591526667,14.566666920979818,214,284,1750,3500,140,420.6066672007243,False,True,True,False,False
4,35,w_and_d,3,0.6040000120798746,0.04911212149552362,0.19733333587646484,0.03300504988506467,0.6938207944234213,14.196000099182129,284,284,1750,3500,140,420.6066672007243,False,True,True,False,False
4,50,d0,3,0.6613333423932394,0.024846183117099574,0.23066667219003034,0.022300977349568322,0.7188019752502441,12.86799987157186,304,404,2500,5000,200,600.8666674296061,True,True,True,True,True
4,50,w_and_d,3,0.649999996026357,0.017087996775198462,0.2253333330154418,0.04100406592743414,0.7178443272908529,11.10200023651123,404,404,2500,5000,200,600.8666674296061,True,True,True,True,True
