K,hidden_size,seed,worst_delta_wad_minus_d0,exact_delta_wad_minus_d0,hidden_spike_delta_wad_minus_d0
2,20,0,0.08600002527236938,0.09200000762939453,1.0700000524520874
2,20,1,0.07400000095367432,0.10600000619888306,-0.04999995231628418
2,20,42,0.07400000095367432,0.08799999952316284,-0.15399980545043945
2,35,0,0.050000011920928955,0.02399998903274536,-0.5000004768371582
2,35,1,0.11599999666213989,0.11599999666213989,-2.004000186920166
2,35,42,0.06599998474121094,0.0339999794960022,-0.6599998474121094
2,50,0,-0.03200000524520885,-0.08999997377395641,-1.4459996223449707
2,50,1,0.0,-0.0480000376701355,0.7960002422332764
2,50,42,0.06999999284744263,0.06999999284744263,-3.0760002136230487
3,20,0,0.029999971389770508,0.030000001192092896,-0.7540001869201656
3,20,1,0.0040000081062316895,0.01800000667572016,-0.43199968338012695
3,20,42,0.078000009059906,-0.027999997138976995,-0.20800018310546875
3,35,0,0.012000024318695068,0.07400000095367437,-2.086000442504883
3,35,1,-0.0040000081062316895,0.030000001192092896,-0.07400035858154297
3,35,42,0.03200000524520874,0.030000001192092896,-0.20200061798095703
3,50,0,-0.05799996852874756,-0.010000020265579224,0.07999992370605469
3,50,1,0.019999980926513672,-0.07600000500679022,0.3439998626708993
3,50,42,-0.05399996042251587,0.0,-1.5939998626709002
4,20,0,-0.019999980926513672,0.0020000040531159002,-0.15999984741210893
4,20,1,-0.015999972820281982,0.004000008106231606,-0.15000009536743164
4,20,42,0.026000022888183594,0.005999997258186285,-0.8159999847412127
4,35,0,0.04400002956390381,0.03599999845027929,-1.3819999694824219
4,35,1,-0.013999998569488525,0.02199999988079071,0.005999565124511719
4,35,42,0.02399998903274536,0.02199999988079071,0.263999938964842
4,50,0,-0.012000024318695068,0.009999990463256836,-3.5459995269775373
4,50,1,-0.041999995708465576,-0.030000001192092896,0.9140000343322754
4,50,42,0.019999980926513672,0.003999993205070496,-2.665999412536621
