run_path,K,hidden_size,T,sub_win,seed,condition,evaluation_split,accuracy,worst_query_accuracy,exact_trial_accuracy,balanced_accuracy,mean_hidden_spikes,trainable_parameters,model_scalar_storage_elements,delay_buffer_elements_per_sample,neuron_updates_per_trial,dense_synapse_macs_per_trial,decoder_weight_macs_per_trial,mean_synaptic_events_total
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K2_sw10_seed0_thr0.3_obsall_time_rolinear,2,20,30,10,0,d0,val,0.8100000023841858,0.7179999947547913,0.6660000085830688,0.807793140411377,1.3960000276565552,82,122,42,600,1200,40,118.99999618530273
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K2_sw10_seed1_thr0.3_obsall_time_rolinear,2,20,30,10,1,d0,val,0.7609999775886536,0.7319999933242798,0.5820000171661377,0.7627438902854919,3.111999988555908,82,122,42,600,1200,40,120.88000297546387
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K2_sw10_seed42_thr0.3_obsall_time_rolinear,2,20,30,10,42,d0,val,0.8870000243186951,0.8500000238418579,0.7739999890327454,0.8842252492904663,6.909999847412109,82,122,42,600,1200,40,120.43999671936035
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K3_sw10_seed0_thr0.3_obsall_time_rolinear,3,20,40,10,0,d0,val,0.7139999866485596,0.6340000033378601,0.3840000033378601,0.7213318943977356,4.51800012588501,103,143,62,800,1600,60,178.23999404907227
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K3_sw10_seed1_thr0.3_obsall_time_rolinear,3,20,40,10,1,d0,val,0.6660000085830688,0.6019999980926514,0.2639999985694885,0.6685207088788351,4.265999794006348,103,143,62,800,1600,60,180.6800079345703
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K3_sw10_seed42_thr0.3_obsall_time_rolinear,3,20,40,10,42,d0,val,0.7760000228881836,0.6439999938011169,0.44600000977516174,0.7784521182378134,7.714000225067139,103,143,62,800,1600,60,180.4800033569336
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K4_sw10_seed0_thr0.3_obsall_time_rolinear,4,20,50,10,0,d0,val,0.6610000133514404,0.5740000009536743,0.15399999916553497,0.6616525501012802,3.819999933242798,124,164,82,1000,2000,80,238.92000198364258
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K4_sw10_seed1_thr0.3_obsall_time_rolinear,4,20,50,10,1,d0,val,0.6545000076293945,0.5979999899864197,0.1459999978542328,0.656263455748558,4.73799991607666,124,164,82,1000,2000,80,240.9600067138672
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h20_K4_sw10_seed42_thr0.3_obsall_time_rolinear,4,20,50,10,42,d0,val,0.6924999952316284,0.6359999775886536,0.20399999618530273,0.6943400204181671,12.342000007629395,124,164,82,1000,2000,80,241.15999221801758
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h35_K2_sw10_seed0_thr0.3_obsall_time_rolinear,2,35,30,10,0,d0,val,0.8669999837875366,0.7919999957084656,0.734000027179718,0.8693307936191559,8.12600040435791,142,212,42,1050,2100,70,208.24999332427979
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h35_K2_sw10_seed1_thr0.3_obsall_time_rolinear,2,35,30,10,1,d0,val,0.8619999885559082,0.7720000147819519,0.7239999771118164,0.8574965596199036,6.938000202178955,142,212,42,1050,2100,70,211.54000520706177
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h35_K2_sw10_seed42_thr0.3_obsall_time_rolinear,2,35,30,10,42,d0,val,0.871999979019165,0.8220000267028809,0.7440000176429749,0.8627040684223175,6.935999870300293,142,212,42,1050,2100,70,210.76999425888062
runs/exploratory/xor_difficulty_calibration_v1/XOR_d0_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,3,35,40,10,0,d0,val,0.7306666374206543,0.6499999761581421,0.37400001287460327,0.7348226308822632,13.234000205993652,178,248,62,1400,2800,105,311.91998958587646
