condition,observation_mode,readout_type,n_completed_seeds,expected_seeds,group_complete,accuracy_mean,accuracy_sd,worst_query_accuracy_mean,worst_query_accuracy_sd,exact_trial_accuracy_mean,exact_trial_accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,trainable_parameters_mean,trainable_parameters_sd,model_scalar_storage_elements_mean,model_scalar_storage_elements_sd,delay_buffer_elements_per_sample_mean,delay_buffer_elements_per_sample_sd,neuron_updates_per_trial_mean,neuron_updates_per_trial_sd,dense_synapse_macs_per_trial_mean,dense_synapse_macs_per_trial_sd,decoder_weight_macs_per_trial_mean,decoder_weight_macs_per_trial_sd,mean_synaptic_events_total_mean,mean_synaptic_events_total_sd
d0,all_time,linear,3,3,True,0.9148333271344503,0.0461988378227236,0.8496666749318441,0.08953957865324869,0.8296666741371155,0.09239770897499537,0.9145974516868591,0.0458750685074945,202.0,0.0,302.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,100.0,0.0,299.85000292460126,1.3500094413932766
d0,all_time,mlp,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2752.0,0.0,2852.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,2600.0,0.0,299.85000292460126,1.3500094413932766
d0,late_window,linear,3,3,True,0.4891666769981384,0.009115009020356772,0.4816666642824809,0.010598741984993157,0.24200000365575156,0.011135528543669797,0.5,0.0,202.0,0.0,302.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,100.0,0.0,299.85000292460126,1.3500094413932766
d0,late_window,mlp,3,3,True,0.49583332737286884,0.015829815696758235,0.4899999996026357,0.01670328947009528,0.25200000405311584,0.023643184316586147,0.5,0.0,2752.0,0.0,2852.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,2600.0,0.0,299.85000292460126,1.3500094413932766
d0,time_binned,linear,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,402.0,0.0,502.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,300.0,0.0,299.85000292460126,1.3500094413932766
d0,time_binned,mlp,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23052.0,0.0,23152.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,22800.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,all_time,linear,3,3,True,0.9118333458900452,0.038419828913999775,0.8766666650772095,0.054224820280741076,0.8236666719118754,0.0768396891146296,0.9116934438546499,0.03719509050254967,302.0,0.0,302.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,100.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,all_time,mlp,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2852.0,0.0,2852.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,2600.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,late_window,linear,3,3,True,0.7719999949137369,0.14672506707743097,0.6756666600704193,0.16560896968255107,0.585666666428248,0.2290116317422398,0.7722639044125875,0.14472877889774283,302.0,0.0,302.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,100.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,late_window,mlp,3,3,True,0.8186666568120321,0.10384643837740365,0.7266666690508524,0.13229635964888142,0.6373333136240641,0.2076928767548073,0.8182737231254578,0.1052394607572762,2852.0,0.0,2852.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,2600.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,time_binned,linear,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,502.0,0.0,502.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,300.0,0.0,299.85000292460126,1.3500094413932766
w_and_d,time_binned,mlp,3,3,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23152.0,0.0,23152.0,0.0,42.0,0.0,1500.0,0.0,3000.0,0.0,22800.0,0.0,299.85000292460126,1.3500094413932766
