K,accuracy,arrival_auxiliary_weight,balanced_accuracy,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_error_steps,final_delay_steps,final_hidden_output_weight_gradient_norm,final_input_hidden_weight_gradient_norm,fixed_delay_steps,full_batch_updates,hidden_active_pattern_count,hidden_neurons,initial_arrival_auxiliary_delay_gradient,initial_delay_steps,initial_raw,initial_spike_loss_delay_gradient,initial_task_arrival_gradient_conflict,initial_task_delay_gradient,initial_total_delay_gradient,initial_total_delay_gradient_direction_correct,initial_voltage_envelope_delay_gradient,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,operation,protocol_id,seed,selection_eligible,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,voltage_envelope_weight,weight_learning_rate
1,0.75,0.0,0.75,final_only,0.0,True,fixed_d0_delayed_target,0.0,0.0,False,0,False,4.0,0.0,0.056817904114723206,0.016759345307946205,0.0,500,4,16,,0.0,,,False,,,,,2,False,False,False,0.5,XOR,xor_task_bridge_level1a_v1,101,False,0.5,stage_ii,4.0,15,False,0.0,0.01
1,0.75,0.0,0.75,final_only,0.5,True,fixed_d0_delayed_target,0.0,0.0,False,0,False,4.0,0.0,0.05839088186621666,0.00985721591860056,0.0,500,4,16,,0.0,,,False,,,,,2,False,False,False,1.25,XOR,xor_task_bridge_level1a_v1,203,False,0.25,stage_ii,4.0,15,False,0.0,0.01
1,0.75,0.0,0.75,final_only,0.0,True,fixed_d0_delayed_target,0.0,0.0,False,0,False,4.0,0.0,0.06549513339996338,0.014810759574174881,0.0,500,4,16,,0.0,,,False,,,,,2,False,False,False,1.0,XOR,xor_task_bridge_level1a_v1,307,False,0.0,stage_ii,4.0,15,False,0.0,0.01
1,0.5,0.0,0.5,final_only,0.0,True,fixed_d0_delayed_target,0.0,0.0,False,0,False,4.0,0.0,0.1057138442993164,0.019134176895022392,0.0,500,4,16,,0.0,,,False,,,,,2,False,False,False,0.0,XOR,xor_task_bridge_level1a_v1,409,False,1.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.5,True,fixed_d0_delayed_target,0.0,0.0,False,0,True,4.0,0.0,0.04856191575527191,0.004659196361899376,0.0,500,4,16,,0.0,,,False,,,,,2,False,False,False,1.5,XOR,xor_task_bridge_level1a_v1,503,False,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,True,1.9648020267486572,2.0351979732513428,0.05471836403012276,0.01536566298455,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,0.001079640700481832,True,0.001079640700481832,0.001079640700481832,False,0.000301404477795586,2,False,True,False,0.75,XOR,xor_task_bridge_level1a_v1,101,True,0.25,stage_ii,4.0,15,False,0.0,0.01
1,0.75,0.0,0.75,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,False,0.9511685371398926,3.0488314628601074,0.08292947709560394,0.012997402809560299,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.0028428209479898214,False,-0.0028428209479898214,-0.0028428209479898214,True,-0.001165035180747509,2,False,True,False,0.25,XOR,xor_task_bridge_level1a_v1,203,True,0.75,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,True,1.6473274230957031,2.352672576904297,0.04994778707623482,0.011700831353664398,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.006825149990618229,False,-0.006825149990618229,-0.006825149990618229,True,-0.002829579869285226,2,False,True,False,0.75,XOR,xor_task_bridge_level1a_v1,307,True,0.25,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,True,1.9665946960449219,2.033405303955078,0.01807565987110138,0.001575142377987504,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.0036014914512634277,False,-0.0036014914512634277,-0.0036014914512634277,True,-0.0012768509332090616,2,False,True,False,1.0,XOR,xor_task_bridge_level1a_v1,409,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,True,1.9338319301605225,2.0661680698394775,0.09567908197641373,0.010899269953370094,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,0.004087370820343494,True,0.004087370820343494,0.004087370820343494,False,0.0018728197319433093,2,False,True,False,0.5,XOR,xor_task_bridge_level1a_v1,503,True,0.5,stage_ii,4.0,15,False,0.0,0.01
1,0.75,0.0,0.75,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,False,0.8028082847595215,4.8028082847595215,0.018228400498628616,0.0032988793682307005,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,0.0004953921306878328,False,0.0004953921306878328,0.0004953921306878328,True,-0.00038412294816225767,2,False,True,False,0.75,XOR,xor_task_bridge_level1a_v1,101,True,0.25,stage_ii,4.0,15,False,0.0,0.01
1,0.5,0.0,0.5,final_only,1.0,True,learned_shared_delay,0.5,0.01,False,0,False,0.35855865478515625,4.358558654785156,0.02980058640241623,0.006576003506779671,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,-0.0004627531161531806,True,-0.0004627531161531806,-0.0004627531161531806,False,0.00027996895369142294,2,False,True,False,2.0,XOR,xor_task_bridge_level1a_v1,203,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,0.5,0.0,0.5,final_only,0.0,True,learned_shared_delay,0.0,0.01,False,0,False,2.030271053314209,6.030271053314209,0.02667269855737686,0.002967570209875703,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,-0.00022381090093404055,True,-0.00022381090093404055,-0.00022381090093404055,False,6.241220398806036e-05,2,False,True,False,0.5,XOR,xor_task_bridge_level1a_v1,307,True,0.5,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.01,True,4,True,0.1752612590789795,3.8247387409210205,0.0,0.0,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,-0.0016441186890006065,True,-0.0016441186890006065,-0.0016441186890006065,False,-0.000288854178506881,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,409,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.5,True,learned_shared_delay,0.0,0.01,False,0,True,1.0686964988708496,5.06869649887085,0.02934267371892929,0.003153462428599596,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,0.0002356334589421749,False,0.0002356334589421749,0.0002356334589421749,True,-0.00037148321280255914,2,False,True,False,1.5,XOR,xor_task_bridge_level1a_v1,503,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.04014420509338379,3.959855794906616,0.0,0.0,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,0.001079640700481832,True,0.001079640700481832,0.001079640700481832,False,0.000301404477795586,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,101,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.44496870040893555,3.5550312995910645,0.0,0.0,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.0028428209479898214,False,-0.0028428209479898214,-0.0028428209479898214,True,-0.001165035180747509,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,203,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.17528057098388672,3.8247194290161133,0.0,0.0,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.006825149990618229,False,-0.006825149990618229,-0.006825149990618229,True,-0.002829579869285226,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,307,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,0.0,0.05,False,0,True,1.0063188076019287,2.9936811923980713,0.009837010875344276,0.0008500773692503572,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,-0.0036014914512634277,False,-0.0036014914512634277,-0.0036014914512634277,True,-0.0012768509332090616,2,False,True,False,1.0,XOR,xor_task_bridge_level1a_v1,409,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.6563811302185059,3.343618869781494,0.0,0.0,,500,4,16,-2.5587987899780273,0.953623354434967,-2.0,0.004087370820343494,True,0.004087370820343494,0.004087370820343494,False,0.0018728197319433093,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,503,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.23605680465698242,3.7639431953430176,0.0,0.0,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,0.0004953921306878328,False,0.0004953921306878328,0.0004953921306878328,True,-0.00038412294816225767,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,101,True,0.0,stage_ii,4.0,15,False,0.0,0.01
1,1.0,0.0,1.0,final_only,0.0,True,learned_shared_delay,1.0,0.05,True,4,True,0.5136895179748535,3.4863104820251465,0.0,0.0,,500,4,16,2.5587997436523438,7.0463762283325195,2.0,-0.0004627531161531806,True,-0.0004627531161531806,-0.0004627531161531806,False,0.00027996895369142294,2,True,True,False,1.0,XOR,xor_task_bridge_level1a_v1,203,True,0.0,stage_ii,4.0,15,False,0.0,0.01
