run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,best_val_acc,best_val_epoch,final_train_acc,final_val_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_A_IMP_B_delays_only_sigmoid_h10_seed42,A_IMP_B,delays_only,10,42,sigmoid,1.0,,0.7649999856948853,0.7951575964689255,180,0.7730957046151161,0.7881196141242981,0.2930000126361847,3.412969136085637,0.002,0.02890000119805336
step1_A_IMP_B_delays_only_sigmoid_h20_seed42,A_IMP_B,delays_only,20,42,sigmoid,1.0,,0.7599999904632568,0.7902747839689255,121,0.7779785171151161,0.7850888967514038,1.7630000114440918,0.5672149707933861,0.001,0.06700000911951065
step1_A_IMP_B_delays_only_sigmoid_h50_seed42,A_IMP_B,delays_only,50,42,sigmoid,1.0,,0.7680000066757202,0.7986934185028076,37,0.7688964866101742,0.775895744562149,2.635999917984009,0.37936268251661853,0.0004,0.04083999618887901
step1_A_IMP_B_weights_and_delays_sigmoid_h10_seed42,A_IMP_B,weights_and_delays,10,42,sigmoid,1.0,,0.949999988079071,0.9638335108757019,172,0.9520019553601742,0.9418440163135529,7.849999904632568,0.12738853657945445,0.002,0.35589998960494995
step1_A_IMP_B_weights_and_delays_sigmoid_h20_seed42,A_IMP_B,weights_and_delays,20,42,sigmoid,1.0,,0.9850000143051147,0.9871026426553726,193,0.9789550788700581,0.982893317937851,17.000999450683594,0.05882007130820718,0.001,0.3664000332355499
step1_A_IMP_B_weights_and_delays_sigmoid_h50_seed42,A_IMP_B,weights_and_delays,50,42,sigmoid,1.0,,0.9850000143051147,0.9909078627824783,174,0.9853027351200581,0.9870016127824783,25.57200050354004,0.03910527062055883,0.0004,0.2535799741744995
step1_A_IMP_B_weights_only_sigmoid_h10_seed42,A_IMP_B,weights_only,10,42,sigmoid,1.0,0.0,0.7770000100135803,0.7970096915960312,194,0.7841796875,0.7851899266242981,10.234000205993652,0.09771350203944096,0.002,0.4221000075340271
step1_A_IMP_B_weights_only_sigmoid_h20_seed42,A_IMP_B,weights_only,20,42,sigmoid,1.0,0.0,0.781000018119812,0.8140153586864471,160,0.7928222678601742,0.8030711263418198,15.914999961853027,0.0628338047374753,0.001,0.3432999849319458
step1_A_IMP_B_weights_only_sigmoid_h50_seed42,A_IMP_B,weights_only,50,42,sigmoid,1.0,0.0,0.7839999794960022,0.8177195638418198,146,0.795166015625,0.7987607717514038,31.174999237060547,0.0320769855484458,0.0004,0.30184000730514526
step1_AND_delays_only_sigmoid_h10_seed42,AND,delays_only,10,42,sigmoid,1.0,,0.7839999794960022,0.7934065163135529,108,0.77685546875,0.7815867513418198,0.27399998903274536,3.6496351825783884,0.002,0.026900000870227814
