run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_A_IMP_B_delays_only_h10_seed42,A_IMP_B,delays_only,10,42,sigmoid,,,0.7649999856948853,0.2930000126361847,3.412969136085637,0.0,0.0
step1_A_IMP_B_delays_only_h20_seed42,A_IMP_B,delays_only,20,42,sigmoid,,,0.7599999904632568,1.7630000114440918,0.5672149707933861,0.0,0.0
step1_A_IMP_B_delays_only_h50_seed42,A_IMP_B,delays_only,50,42,sigmoid,,,0.7680000066757202,2.635999917984009,0.37936268251661853,0.0,0.0
step1_A_IMP_B_weights_and_delays_h10_seed42,A_IMP_B,weights_and_delays,10,42,sigmoid,,,0.949999988079071,7.849999904632568,0.12738853657945445,0.0,0.0
step1_A_IMP_B_weights_and_delays_h20_seed42,A_IMP_B,weights_and_delays,20,42,sigmoid,,,0.9850000143051147,17.000999450683594,0.05882007130820718,0.0,0.0
step1_A_IMP_B_weights_and_delays_h50_seed42,A_IMP_B,weights_and_delays,50,42,sigmoid,,,0.9850000143051147,25.57200050354004,0.03910527062055883,0.0,0.0
step1_A_IMP_B_weights_only_h10_seed42,A_IMP_B,weights_only,10,42,sigmoid,,,0.9100000262260437,10.187999725341797,0.09815469444041931,0.0,0.0
step1_A_IMP_B_weights_only_h20_seed42,A_IMP_B,weights_only,20,42,sigmoid,,,0.9160000085830688,16.812000274658203,0.059481321892872176,0.0,0.0
step1_A_IMP_B_weights_only_h50_seed42,A_IMP_B,weights_only,50,42,sigmoid,,,0.9179999828338623,27.499000549316406,0.03636495799935023,0.0,0.0
step1_AND_delays_only_h10_seed42,AND,delays_only,10,42,sigmoid,,,0.7839999794960022,0.27399998903274536,3.6496351825783884,0.0,0.0
step1_AND_delays_only_h20_seed42,AND,delays_only,20,42,sigmoid,,,0.8809999823570251,1.5269999504089355,0.6548788686811658,0.0,0.0
step1_AND_delays_only_h50_seed42,AND,delays_only,50,42,sigmoid,,,0.8600000143051147,2.125999927520752,0.4703669022068859,0.0,0.0
step1_AND_weights_and_delays_h10_seed42,AND,weights_and_delays,10,42,sigmoid,,,0.9620000123977661,4.413000106811523,0.22660321228102553,0.0,0.0
step1_AND_weights_and_delays_h20_seed42,AND,weights_and_delays,20,42,sigmoid,,,0.9850000143051147,11.960000038146973,0.0836120398670948,0.0,0.0
step1_AND_weights_and_delays_h50_seed42,AND,weights_and_delays,50,42,sigmoid,,,0.9879999756813049,23.340999603271484,0.04284306657799864,0.0,0.0
step1_AND_weights_only_h10_seed42,AND,weights_only,10,42,sigmoid,,,0.8930000066757202,6.056000232696533,0.1651254890316828,0.0,0.0
step1_AND_weights_only_h20_seed42,AND,weights_only,20,42,sigmoid,,,0.9300000071525574,13.746999740600586,0.07274314533131078,0.0,0.0
step1_AND_weights_only_h50_seed42,AND,weights_only,50,42,sigmoid,,,0.9399999976158142,26.32200050354004,0.03799103338917991,0.0,0.0
step1_B_IMP_A_delays_only_h10_seed42,B_IMP_A,delays_only,10,42,sigmoid,,,0.7509999871253967,0.28299999237060547,3.5335689998550954,0.0,0.0
step1_B_IMP_A_delays_only_h20_seed42,B_IMP_A,delays_only,20,42,sigmoid,,,0.7689999938011169,1.8270000219345093,0.547345368360289,0.0,0.0
step1_B_IMP_A_delays_only_h50_seed42,B_IMP_A,delays_only,50,42,sigmoid,,,0.7789999842643738,2.6670000553131104,0.37495312308218093,0.0,0.0
step1_B_IMP_A_weights_and_delays_h10_seed42,B_IMP_A,weights_and_delays,10,42,sigmoid,,,0.9330000281333923,10.680000305175781,0.09363295612598216,0.0,0.0
step1_B_IMP_A_weights_and_delays_h20_seed42,B_IMP_A,weights_and_delays,20,42,sigmoid,,,0.9639999866485596,14.263999938964844,0.07010656227418431,0.0,0.0
step1_B_IMP_A_weights_and_delays_h50_seed42,B_IMP_A,weights_and_delays,50,42,sigmoid,,,0.9779999852180481,32.14699935913086,0.031107102371468007,0.0,0.0
step1_B_IMP_A_weights_only_h10_seed42,B_IMP_A,weights_only,10,42,sigmoid,,,0.8840000033378601,11.027999877929688,0.09067827448940201,0.0,0.0
step1_B_IMP_A_weights_only_h20_seed42,B_IMP_A,weights_only,20,42,sigmoid,,,0.9049999713897705,14.4399995803833,0.06925207957474577,0.0,0.0
step1_B_IMP_A_weights_only_h50_seed42,B_IMP_A,weights_only,50,42,sigmoid,,,0.9139999747276306,29.461000442504883,0.0339431786083289,0.0,0.0
